,kaptCode,Elec_Con
0,A15380403,0
1,A15380101,0
3,A15382301,0
4,A15383601,0
5,A15381402,0
6,A15301105,0
7,A15383308,0
8,A15375810,0
9,A15370301,0
10,A15375809,0
11,A15381706,0
12,A15383604,0
13,A15381303,1
14,A15383307,0
15,A10027188,0
17,A10025946,1
18,A10025116,1
20,A15383702,0
21,A15386506,0
22,A15303002,0
23,A15386404,0
24,A15384501,1
25,A15303401,1
26,A15303203,0
27,A15303103,0
28,A15303202,0
29,A15378501,1
30,A15383905,0
31,A15370103,0
32,A15384101,0
33,A15303205,0
34,A15303502,1
35,A15384603,0
36,A15303204,0
38,A15303102,0
