,kaptCode,Date,electC,electComb
0,A15380403,202101.0,8983.427424749163,46224.805351170566
0,A15380403,202102.0,8997.254180602007,42903.214046822744
0,A15380403,202103.0,7466.375919732442,33432.64347826087
0,A15380403,202104.0,7958.90635451505,36541.95652173913
0,A15380403,202105.0,7162.245484949833,34535.6635451505
0,A15380403,202106.0,7676.134448160535,37357.93377926421
0,A15380403,202107.0,9411.880267558528,50699.4254180602
0,A15380403,202108.0,9478.51237458194,63281.575919732444
0,A15380403,202109.0,6283.623411371237,37478.098327759195
0,A15380403,202110.0,7599.6147157190635,36622.424080267556
0,A15380403,202111.0,8442.466220735785,39225.27558528428
0,A15380403,202112.0,9081.005351170568,40639.89498327759
0,A15380403,202212.0,9885.552508361205,45643.37859531773
0,A15380403,202212.0,9331.377257525084,44416.0127090301
0,A15380403,202212.0,7842.9264214046825,36027.50836120401
0,A15380403,202212.0,8774.170568561873,39750.959866220735
0,A15380403,202212.0,7650.459531772575,35860.05150501672
0,A15380403,202212.0,7971.489632107024,38890.90100334448
0,A15380403,202212.0,8176.536454849498,52418.69030100334
0,A15380403,202212.0,11935.957859531773,65462.21204013378
0,A15380403,202212.0,7317.536454849498,41767.717056856185
0,A15380403,202212.0,8228.272240802675,39779.2287625418
0,A15380403,202212.0,9876.620735785953,52495.78461538462
0,A15380403,202212.0,11091.960535117058,47948.448829431436
1,A15380101,202101.0,14160.095238095239,47397.57142857143
1,A15380101,202102.0,12089.761904761905,38369.380952380954
1,A15380101,202103.0,9820.761904761905,39244.142857142855
1,A15380101,202104.0,9791.57142857143,35325.47619047619
1,A15380101,202105.0,10310.57142857143,37130.380952380954
1,A15380101,202106.0,10447.57142857143,37641.28571428572
1,A15380101,202107.0,9944.285714285714,59945.142857142855
1,A15380101,202108.0,6680.238095238095,43058.04761904762
1,A15380101,202109.0,5449.238095238095,33825.857142857145
1,A15380101,202110.0,7768.714285714285,36865.28571428572
1,A15380101,202111.0,8311.761904761905,36974.47619047619
1,A15380101,202112.0,10465.47619047619,43333.23809523809
1,A15380101,202212.0,11601.285714285714,45594.95238095238
1,A15380101,202212.0,10177.666666666666,38847.90476190476
1,A15380101,202212.0,8819.333333333334,40258.71428571428
1,A15380101,202212.0,6994.333333333333,35961.90476190476
1,A15380101,202212.0,8160.190476190476,37507.80952380953
1,A15380101,202212.0,6610.714285714285,39990.76190476191
1,A15380101,202212.0,5474.190476190476,53667.04761904762
1,A15380101,202212.0,6149.666666666667,48147.666666666664
1,A15380101,202212.0,8163.190476190476,39199.76190476191
1,A15380101,202212.0,8679.47619047619,41494.47619047619
1,A15380101,202212.0,9615.285714285714,42784.57142857143
1,A15380101,202212.0,11981.47619047619,50392.47619047619
3,A15382301,202101.0,8672.08211143695,45587.917888563046
3,A15382301,202102.0,7261.876832844575,38036.36363636364
3,A15382301,202103.0,3863.9296187683285,39440.58651026393
3,A15382301,202104.0,6447.360703812316,34765.8064516129
3,A15382301,202105.0,6167.390029325513,36103.87096774193
