,kaptCode,Elec_Con
0,A15288812,0.0
1,A15288806,0.0
2,A15288802,1.0
3,A15288805,0.0
4,A15288813,0.0
5,A15288801,0.0
6,A15288814,1.0
7,A15288809,0.0
8,A15288803,0.0
9,A15288804,0.0
10,A15288807,0.0
11,A15288810,0.0
12,A15288611,0.0
13,A10028063,1.0
14,A15288004,1.0
15,A15286806,0.0
16,A15284305,0.0
17,A15205305,0.0
18,A15288002,0.0
19,A15283809,0.0
20,A15205108,0.0
21,A15286809,0.0
22,A15283902,0.0
23,A15205103,0.0
24,A15284906,0.0
25,A15205002,0.0
26,A15283806,0.0
27,A15205104,0.0
28,A15286210,1.0
29,A15283807,0.0
30,A15205303,0.0
31,A15285503,0.0
32,A15286807,0.0
33,A15286802,1.0
34,A15285004,0.0
35,A15283801,1.0
36,A15205301,0.0
37,A15205001,1.0
38,A15286805,0.0
39,A15284603,0.0
40,A15205513,0.0
41,A15283803,0.0
42,A15285804,0.0
43,A15286602,1.0
44,A15286801,0.0
45,A15205405,0.0
49,A15205511,0.0
51,A15208204,0.0
52,A15282403,0.0
53,A15208201,0.0
54,A15283707,0.0
55,A15208006,0.0
56,A15283603,0.0
57,A15283706,0.0
58,A15279403,0.0
59,A15283702,0.0
60,A15283709,0.0
61,A15283701,0.0
62,A15282810,1.0
63,A15208005,0.0
64,A15208202,0.0
65,A15208007,0.0
66,A15282608,0.0
67,A15283704,0.0
68,A15279402,0.0
69,A15208003,0.0
70,A15279404,0.0
71,A15283711,1.0
72,A15282405,0.0
73,A15282105,0.0
74,A15280304,0.0
75,A15209206,0.0
76,A15209304,1.0
77,A15209207,0.0
78,A15209003,1.0
79,A15209305,0.0
80,A15209004,0.0
81,A15209002,0.0
82,A15209203,0.0
83,A15209202,0.0
84,A15280602,0.0
85,A15209205,1.0
86,A15209303,1.0
87,A15209201,0.0
88,A15280303,0.0
89,A15209007,0.0
91,A15275101,0.0
92,A10024745,1.0
93,A15210101,0.0
94,A15210104,1.0
95,A15210102,0.0
96,A15210103,0.0
97,A15210206,1.0
98,A15210105,0.0
99,A15210107,0.0
100,A15210211,0.0
101,A15210106,0.0
102,A15210212,1.0
103,A15278301,0.0
104,A15210210,0.0
105,A15210209,0.0
106,A15210207,0.0
107,A10026434,0.0
109,A15279101,0.0
110,A15210001,1.0
111,A15213006,0.0
112,A15213004,0.0
113,A15213005,0.0
114,A15213002,0.0
115,A15213007,0.0
116,A15213001,0.0
117,A10027764,0.0
118,A10026729,1.0
119,A10026039,1.0
120,A15213003,0.0
121,A15271601,0.0
122,A10025614,0.0
123,A10025386,1.0
124,A10025387,1.0
125,A10025858,1.0
126,A10025564,1.0
127,A10024849,1.0
128,A10024927,1.0
129,A10025115,1.0
130,A10025193,0.0
131,A10025302,0.0
