,kaptCode,Date,electC,electComb
0,A15288812,202101.0,18677.53106682298,87109.52403282533
0,A15288812,202102.0,19010.437280187572,85099.64009378664
0,A15288812,202103.0,17214.145369284877,65955.69284876905
0,A15288812,202104.0,11943.375146541617,72252.29660023446
0,A15288812,202105.0,12806.410316529895,64003.350527549825
0,A15288812,202106.0,14760.06916764361,69199.75263774912
0,A15288812,202107.0,18235.759671746775,75090.12075029308
0,A15288812,202108.0,19184.323563892147,148819.96248534584
0,A15288812,202109.0,15380.630715123096,82332.57678780773
0,A15288812,202110.0,12341.099648300118,68786.82063305979
0,A15288812,202111.0,12745.76670574443,71680.37397420868
0,A15288812,202112.0,17148.778429073856,75627.61781946072
0,A15288812,202212.0,19945.763188745605,79101.0855803048
0,A15288812,202212.0,15479.303634232121,83817.7796014068
0,A15288812,202212.0,14010.459554513482,68488.29073856975
0,A15288812,202212.0,11912.205158264947,71844.23329425557
0,A15288812,202212.0,12393.746776084408,64607.2754982415
0,A15288812,202212.0,12230.010550996483,68365.45017584994
0,A15288812,202212.0,16261.834701055099,89578.61078546307
0,A15288812,202212.0,21331.992966002344,104481.26611957797
0,A15288812,202212.0,25739.854630715123,79412.99648300117
0,A15288812,202212.0,17449.181711606096,67450.60023446659
0,A15288812,202212.0,71867.97303634232,71867.97303634232
0,A15288812,202212.0,23920.27080890973,74262.63892145369
1,A15288806,202101.0,11404.154411764706,54314.39950980392
1,A15288806,202102.0,18744.946078431374,61489.57843137255
1,A15288806,202103.0,12499.149509803921,45375.669117647056
1,A15288806,202104.0,10685.372549019608,45047.67647058824
1,A15288806,202105.0,8943.700980392157,39775.833333333336
1,A15288806,202106.0,8785.754901960785,40888.74509803922
1,A15288806,202107.0,7373.296568627451,41344.17892156863
1,A15288806,202108.0,12716.18137254902,79758.01960784313
1,A15288806,202109.0,5963.610294117647,51089.98284313725
1,A15288806,202110.0,8596.95588235294,42770.80392156863
1,A15288806,202111.0,8352.311274509804,42825.22794117647
1,A15288806,202112.0,9859.904411764706,44481.669117647056
1,A15288806,202212.0,10519.485294117647,50596.27450980392
1,A15288806,202212.0,10991.051470588236,51804.825980392154
1,A15288806,202212.0,10781.60294117647,45557.87745098039
1,A15288806,202212.0,10072.122549019608,47469.81862745098
1,A15288806,202212.0,9459.053921568628,42827.26470588235
1,A15288806,202212.0,8452.91911764706,42147.74754901961
1,A15288806,202212.0,7083.186274509804,47785.882352941175
1,A15288806,202212.0,12898.821078431372,73123.55147058824
1,A15288806,202212.0,7605.583333333333,58027.25
1,A15288806,202212.0,8374.887254901962,45716.529411764706
1,A15288806,202212.0,9590.41911764706,47320.24754901961
1,A15288806,202212.0,10412.622549019608,49422.05882352941
2,A15288802,202101.0,14177.35294117647,72888.62745098039
2,A15288802,202102.0,15210.93137254902,63693.03921568627
2,A15288802,202103.0,11063.921568627451,48348.186274509804
2,A15288802,202104.0,10049.558823529413,54198.382352941175
2,A15288802,202105.0,11644.70588235294,49137.25490196078
2,A15288802,202106.0,13615.637254901962,58749.80392156863
2,A15288802,202107.0,9138.28431372549,88223.23529411765
2,A15288802,202108.0,17274.313725490196,95794.95098039215
2,A15288802,202109.0,7319.85294117647,57325.049019607846
2,A15288802,202110.0,11872.009803921568,50071.12745098039
2,A15288802,202111.0,12736.862745098038,58390.53921568627
2,A15288802,202112.0,9952.009803921568,63318.87254901961
2,A15288802,202212.0,18525.29411764706,67168.87254901961
2,A15288802,202212.0,15201.56862745098,67456.42156862745
2,A15288802,202212.0,10619.264705882353,52717.10784313725
2,A15288802,202212.0,9841.470588235294,56917.30392156863
2,A15288802,202212.0,11222.107843137255,49706.666666666664
2,A15288802,202212.0,13022.35294117647,58913.382352941175
2,A15288802,202212.0,11124.901960784313,84001.0294117647
2,A15288802,202212.0,16551.764705882353,95976.42156862745
2,A15288802,202212.0,10583.529411764706,60805.882352941175
2,A15288802,202212.0,11936.960784313726,55440.63725490196
2,A15288802,202212.0,14362.401960784313,64258.72549019608
2,A15288802,202212.0,14255.0,71828.48039215687
3,A15288805,202101.0,13624.861878453039,69317.32044198895
3,A15288805,202102.0,10280.497237569061,52948.2044198895
3,A15288805,202103.0,8423.093922651933,55986.38121546961
3,A15288805,202104.0,8265.939226519336,51548.78453038674
3,A15288805,202105.0,9466.685082872928,55989.6408839779
3,A15288805,202106.0,12676.71270718232,62801.325966850825
3,A15288805,202107.0,13693.839779005524,126454.36464088398
3,A15288805,202108.0,10008.591160220994,68006.3812154696
3,A15288805,202109.0,8344.281767955801,55504.75138121547
3,A15288805,202110.0,9592.790055248619,56293.03867403315
3,A15288805,202111.0,10044.668508287294,57767.56906077348
3,A15288805,202112.0,10498.259668508288,64067.099447513814
3,A15288805,202212.0,11185.966850828729,65660.3591160221
3,A15288805,202212.0,9500.3591160221,55196.54696132597
3,A15288805,202212.0,7666.022099447514,58501.988950276245
3,A15288805,202212.0,7756.381215469613,52962.79005524862
3,A15288805,202212.0,8411.160220994476,55687.37569060773
3,A15288805,202212.0,11998.53591160221,76328.72928176796
3,A15288805,202212.0,11414.613259668507,94635.7182320442
3,A15288805,202212.0,7869.419889502762,71278.31491712708
3,A15288805,202212.0,7247.182320441989,56882.62430939227
3,A15288805,202212.0,8799.585635359115,59235.331491712706
3,A15288805,202212.0,10240.027624309392,62427.59668508287
3,A15288805,202212.0,13941.988950276243,64436.46408839779
4,A15288813,202101.0,18005.24200913242,64136.49315068493
4,A15288813,202102.0,20550.712328767124,65136.7305936073
4,A15288813,202103.0,11981.881278538813,46197.488584474886
4,A15288813,202104.0,10528.520547945205,47196.97716894977
4,A15288813,202105.0,9915.068493150686,43182.88584474886
4,A15288813,202106.0,10047.004566210046,45158.27397260274
4,A15288813,202107.0,9411.37899543379,46123.21461187214
4,A15288813,202108.0,17205.552511415524,95437.40639269406
4,A15288813,202109.0,10354.06392694064,51543.479452054795
4,A15288813,202110.0,10581.881278538813,46125.85388127854
4,A15288813,202111.0,11744.95890410959,47057.20547945205
4,A15288813,202112.0,13293.86301369863,48559.068493150684
4,A15288813,202212.0,12192.547945205479,55477.18721461187
4,A15288813,202212.0,13423.168949771689,63430.840182648404
4,A15288813,202212.0,12595.625570776256,49027.77168949772
4,A15288813,202212.0,11107.150684931506,50018.666666666664
4,A15288813,202212.0,15045.5799086758,45641.02283105023
4,A15288813,202212.0,11148.045662100456,46538.520547945205
4,A15288813,202212.0,10259.52511415525,58082.16438356164
4,A15288813,202212.0,16450.20091324201,79803.80821917808
4,A15288813,202212.0,11575.004566210046,57869.51598173516
4,A15288813,202212.0,10982.95890410959,49984.447488584476
4,A15288813,202212.0,12163.10502283105,52723.82648401827
4,A15288813,202212.0,12113.09589041096,54079.561643835616
5,A15288801,202101.0,8454.09090909091,8454.09090909091
5,A15288801,202102.0,8151.298701298701,8151.298701298701
5,A15288801,202103.0,6637.207792207792,6637.207792207792
5,A15288801,202104.0,6307.792207792208,6307.792207792208
5,A15288801,202105.0,6087.532467532467,6087.532467532467
5,A15288801,202106.0,6746.428571428572,6746.428571428572
5,A15288801,202107.0,7265.714285714285,7265.714285714285
5,A15288801,202108.0,7543.2467532467535,7543.2467532467535
5,A15288801,202109.0,5395.714285714285,5395.714285714285
5,A15288801,202110.0,6115.12987012987,6115.12987012987
5,A15288801,202111.0,6999.87012987013,6999.87012987013
5,A15288801,202112.0,7839.1558441558445,7839.1558441558445
5,A15288801,202212.0,8808.051948051949,8808.051948051949
5,A15288801,202212.0,8729.545454545454,8729.545454545454
5,A15288801,202212.0,6814.415584415585,6814.415584415585
5,A15288801,202212.0,6223.051948051948,6223.051948051948
5,A15288801,202212.0,6009.285714285715,6009.285714285715
5,A15288801,202212.0,6734.415584415585,6734.415584415585
5,A15288801,202212.0,7525.779220779221,7525.779220779221
5,A15288801,202212.0,7709.545454545455,7709.545454545455
5,A15288801,202212.0,6867.012987012987,6867.012987012987
5,A15288801,202212.0,6314.1558441558445,6314.1558441558445
5,A15288801,202212.0,7130.324675324675,7130.324675324675
5,A15288801,202212.0,8408.896103896104,8408.896103896104
6,A15288814,202101.0,12296.444299390774,58932.53263707572
6,A15288814,202102.0,10269.3864229765,41822.711053089646
6,A15288814,202103.0,12310.517841601393,42727.075718015665
6,A15288814,202104.0,10196.06179286336,38595.378590078326
6,A15288814,202105.0,10853.590078328982,40300.49173194082
6,A15288814,202106.0,10788.439077458659,41057.003046127065
6,A15288814,202107.0,21244.62228024369,73556.06701479548
6,A15288814,202108.0,2061.2415143603134,50702.92123585727
6,A15288814,202109.0,8293.852480417754,40860.07093124456
6,A15288814,202110.0,11011.547432550044,42508.61879895561
6,A15288814,202111.0,11695.52132288947,42824.585726718884
6,A15288814,202112.0,13974.047432550044,50103.67319408181
6,A15288814,202212.0,15718.389904264577,53514.46910356832
6,A15288814,202212.0,14103.129242819843,46631.7454308094
6,A15288814,202212.0,11212.61270670148,46797.125326370755
6,A15288814,202212.0,11080.806788511749,42572.83028720626
6,A15288814,202212.0,11338.164490861618,42112.56396866841
6,A15288814,202212.0,12589.364229765013,45697.976066144474
6,A15288814,202212.0,16449.96910356832,65841.80113141863
6,A15288814,202212.0,2798.315056570931,55741.017406440384
6,A15288814,202212.0,9764.564838990427,44755.731070496084
6,A15288814,202212.0,11202.707136640556,46562.3546562228
6,A15288814,202212.0,11521.063533507398,47016.690165361186
6,A15288814,202212.0,17440.471279373367,59969.96649260226
7,A15288809,202101.0,8572.458015267175,48079.57251908397
7,A15288809,202102.0,9124.625954198473,38586.59541984733
7,A15288809,202103.0,9093.908396946565,40713.908396946565
7,A15288809,202104.0,8650.610687022901,37159.75572519084
7,A15288809,202105.0,8369.190839694656,38279.81679389313
7,A15288809,202106.0,8055.664122137405,40336.9465648855
7,A15288809,202107.0,12825.236641221374,77508.07633587786
7,A15288809,202108.0,6506.229007633588,44225.61832061069
7,A15288809,202109.0,8259.114503816794,41372.64122137405
7,A15288809,202110.0,8434.412213740457,40848.51908396946
