,kaptCode,Elec_Con
0,A15106001,0.0
1,A15192201,0.0
2,A15181602,0.0
3,A15178203,0.0
4,A15105302,0.0
5,A15106103,0.0
6,A15178201,0.0
7,A15178202,0.0
8,A15180705,0.0
9,A15176202,0.0
10,A15106101,0.0
11,A15105301,0.0
12,A15184101,0.0
13,A15180701,1.0
14,A15105303,0.0
16,A15105005,1.0
17,A15105602,0.0
18,A15105004,0.0
19,A15192202,0.0
20,A15106901,0.0
21,A15105503,0.0
22,A15105006,1.0
23,A15176602,0.0
24,A15105008,1.0
25,A15105603,0.0
26,A15178204,1.0
28,A10026710,0.0
29,A10025428,1.0
30,A10025092,1.0
33,A10024894,1.0
34,A15177101,0.0
35,A15101503,0.0
36,A15176701,1.0
37,A15186002,1.0
38,A15101501,1.0
40,A15101101,0.0
41,A15185201,1.0
42,A15179403,0.0
43,A15187101,0.0
44,A15101506,0.0
45,A15101505,0.0
46,A15190301,0.0
47,A15179701,0.0
48,A15101802,0.0
49,A15101508,0.0
50,A15188101,0.0
51,A15185704,1.0
52,A15101504,0.0
53,A15102203,0.0
54,A15101507,0.0
55,A15101702,1.0
56,A15102202,0.0
57,A15190705,0.0
58,A15101901,1.0
59,A15102902,0.0
60,A15101509,0.0
61,A15101903,0.0
68,A15108003,0.0
69,A15108001,1.0
