,kaptCode,Elec_Con
0,A14322001,0.0
2,A14320001,0.0
3,A14383205,1.0
4,A14320302,0.0
5,A14383203,1.0
6,A14320304,1.0
8,A14382101,1.0
9,A10026874,1.0
11,A10025985,0.0
13,A14381512,0.0
14,A14380605,1.0
15,A14380414,1.0
16,A14381508,1.0
17,A14375301,1.0
18,A14381415,0.0
19,A14380211,1.0
20,A14381516,1.0
21,A14375302,1.0
22,A14381513,0.0
23,A14380409,1.0
24,A14381510,0.0
25,A14381506,0.0
26,A14381504,1.0
27,A14381407,1.0
29,A10026162,0.0
31,A14319307,0.0
32,A14386802,0.0
33,A14319201,1.0
34,A14319204,0.0
35,A14319002,0.0
36,A14386110,1.0
37,A14377402,1.0
38,A14319203,1.0
39,A14319005,0.0
40,A14319010,0.0
41,A14319303,0.0
42,A14376501,0.0
43,A14319007,0.0
44,A14319003,0.0
45,A14319011,0.0
46,A14319301,1.0
47,A14388208,0.0
48,A14319008,0.0
49,A14387605,0.0
50,A14388204,0.0
51,A14319302,0.0
52,A14319001,1.0
53,A14319006,0.0
54,A14319306,1.0
56,A14319009,0.0
57,A14319311,0.0
58,A14386109,0.0
59,A10026720,1.0
65,A14313001,1.0
66,A14383901,0.0
