,kaptCode,Date,electC,electComb
0,A14322001,202101.0,10270.164835164835,61389.78021978022
0,A14322001,202102.0,11170.054945054944,50354.395604395606
0,A14322001,202103.0,10210.329670329671,39080.16483516483
0,A14322001,202104.0,6803.351648351649,41626.593406593405
0,A14322001,202105.0,4602.527472527472,38570.32967032967
0,A14322001,202106.0,7143.626373626374,41439.34065934066
0,A14322001,202107.0,-2461.5384615384614,46513.956043956045
0,A14322001,202108.0,2131.7582417582416,66501.97802197802
0,A14322001,202109.0,2720.3846153846152,40112.52747252747
0,A14322001,202110.0,6196.0989010989015,39627.1978021978
0,A14322001,202111.0,2760.21978021978,43171.703296703294
0,A14322001,202112.0,6613.626373626374,46029.12087912088
0,A14322001,202212.0,6823.076923076923,54704.89010989011
0,A14322001,202212.0,10702.692307692309,52801.42857142857
0,A14322001,202212.0,5636.813186813187,42639.505494505494
0,A14322001,202212.0,8530.989010989011,46173.73626373626
0,A14322001,202212.0,3250.8241758241757,40444.34065934066
0,A14322001,202212.0,5123.351648351649,43544.78021978022
0,A14322001,202212.0,1898.2417582417581,54761.92307692308
0,A14322001,202212.0,-6758.681318681319,61235.93406593407
0,A14322001,202212.0,3563.186813186813,45926.703296703294
0,A14322001,202212.0,9404.670329670329,45026.043956043955
0,A14322001,202212.0,3892.087912087912,49341.758241758245
0,A14322001,202212.0,5784.780219780219,53799.395604395606
2,A14320001,202101.0,4002.989010989011,42063.53846153846
2,A14320001,202102.0,4726.794871794872,39750.091575091574
2,A14320001,202103.0,3350.996336996337,30996.85714285714
2,A14320001,202104.0,3054.087912087912,33173.0989010989
2,A14320001,202105.0,3060.802197802198,30640.838827838827
2,A14320001,202106.0,2660.0476190476193,34256.16483516483
2,A14320001,202107.0,6588.516483516483,40847.01465201465
2,A14320001,202108.0,3452.838827838828,52925.07326007326
2,A14320001,202109.0,2115.74358974359,30179.956043956045
2,A14320001,202110.0,5289.102564102564,30253.864468864467
2,A14320001,202111.0,8272.413919413919,33237.17582417582
2,A14320001,202112.0,6844.3003663003665,36088.18315018315
2,A14320001,202212.0,8750.798534798534,38584.49816849817
2,A14320001,202212.0,7736.978021978022,38188.369963369965
2,A14320001,202212.0,5185.630036630037,30892.076923076922
2,A14320001,202212.0,6067.677655677656,33982.18315018315
2,A14320001,202212.0,5426.18315018315,30458.967032967033
2,A14320001,202212.0,6580.03663003663,34891.20879120879
2,A14320001,202212.0,4338.355311355312,47790.992673992674
2,A14320001,202212.0,4245.058608058608,53379.60073260073
2,A14320001,202212.0,4505.080586080586,38565.043956043955
2,A14320001,202212.0,6405.117216117216,34941.49084249084
2,A14320001,202212.0,5876.948717948718,37552.406593406595
2,A14320001,202212.0,9552.483516483517,43457.50183150183
3,A14383205,202101.0,3364.227895392279,49531.438356164384
3,A14383205,202102.0,3297.7272727272725,45723.06351183064
3,A14383205,202103.0,2766.53798256538,36766.10211706102
3,A14383205,202104.0,2905.753424657534,39517.770859277705
3,A14383205,202105.0,3093.941469489415,36857.26650062267
3,A14383205,202106.0,2472.6587795765877,40743.156911581566
3,A14383205,202107.0,2298.59900373599,53567.11706102117
3,A14383205,202108.0,3588.455790784558,70140.44831880448
3,A14383205,202109.0,2438.8854296388545,39684.77584059776
3,A14383205,202110.0,3218.8729763387296,38404.36488169365
3,A14383205,202111.0,3035.2926525529265,40813.374844333746
3,A14383205,202112.0,2742.9327521793275,42684.526774595266
3,A14383205,202212.0,4229.476961394769,48258.49315068493
3,A14383205,202212.0,3796.2826899128268,47657.428393524286
3,A14383205,202212.0,3467.5591531755917,38801.86799501868
3,A14383205,202212.0,3513.692403486924,41869.6699875467
3,A14383205,202212.0,4038.3997509339974,37823.26899128269
3,A14383205,202212.0,4244.956413449564,42421.66874221669
3,A14383205,202212.0,3062.9968866749687,57936.90722291407
3,A14383205,202212.0,3165.2845579078457,73166.21855541719
3,A14383205,202212.0,1930.1120797011208,44555.14321295143
3,A14383205,202212.0,1848.1693648816936,42097.73349937733
3,A14383205,202212.0,3563.5678704856787,46397.85180572852
3,A14383205,202212.0,3461.407222914072,50773.11332503113
4,A14320302,202101.0,5555.282485875706,51922.48587570622
4,A14320302,202102.0,9302.146892655368,48801.101694915254
4,A14320302,202103.0,6407.853107344633,38140.87570621469
4,A14320302,202104.0,6561.977401129943,41221.04519774011
4,A14320302,202105.0,5788.502824858757,38631.83615819209
4,A14320302,202106.0,5752.033898305085,42863.333333333336
4,A14320302,202107.0,3874.124293785311,56420.02824858757
4,A14320302,202108.0,1867.9096045197741,72572.23163841807
4,A14320302,202109.0,4277.344632768361,42314.40677966102
4,A14320302,202110.0,5644.9717514124295,40712.90960451977
4,A14320302,202111.0,6564.09604519774,44023.5593220339
4,A14320302,202112.0,6790.225988700565,45792.542372881355
4,A14320302,202212.0,7439.9717514124295,51240.59322033898
4,A14320302,202212.0,7399.180790960452,50622.28813559322
4,A14320302,202212.0,6782.627118644068,41485.536723163845
4,A14320302,202212.0,7162.2316384180795,45193.87005649717
4,A14320302,202212.0,7009.180790960452,41091.83615819209
4,A14320302,202212.0,6312.824858757062,46486.497175141245
4,A14320302,202212.0,3401.299435028249,61186.6384180791
4,A14320302,202212.0,7079.180790960452,76623.55932203389
4,A14320302,202212.0,5105.056497175141,47898.92655367232
4,A14320302,202212.0,5748.700564971751,45869.71751412429
4,A14320302,202212.0,10438.079096045198,50525.338983050846
4,A14320302,202212.0,7835.423728813559,55256.581920903955
5,A14383203,202101.0,292.8028503562945,46266.12826603325
5,A14383203,202102.0,2254.6318289786223,43130.95011876484
5,A14383203,202103.0,2806.6508313539193,34246.935866983375
5,A14383203,202104.0,1874.9406175771971,37279.477434679335
5,A14383203,202105.0,2245.0593824228026,34679.002375296914
5,A14383203,202106.0,1861.5676959619952,38125.74821852732
5,A14383203,202107.0,2629.2874109263657,48445.93824228029
5,A14383203,202108.0,-6095.20190023753,75206.1757719715
5,A14383203,202109.0,-1066.5320665083136,39146.48456057007
5,A14383203,202110.0,865.8669833729216,36711.66270783848
5,A14383203,202111.0,2577.29216152019,38748.97862232779
5,A14383203,202112.0,3285.6769596199524,40863.32541567696
5,A14383203,202212.0,2597.50593824228,45673.444180522565
5,A14383203,202212.0,2400.0950118764845,44970.40380047506
5,A14383203,202212.0,2779.0498812351543,37034.96437054632
5,A14383203,202212.0,2270.332541567696,40287.315914489314
5,A14383203,202212.0,2885.1781472684083,36685.46318289786
5,A14383203,202212.0,206.93586698337293,39653.84798099763
5,A14383203,202212.0,-1230.9026128266032,56242.63657957245
5,A14383203,202212.0,2036.7220902612826,69511.99524940617
5,A14383203,202212.0,-2374.7268408551067,43779.80997624703
5,A14383203,202212.0,2562.7790973871734,39697.38717339667
5,A14383203,202212.0,3711.5914489311162,44323.254156769595
5,A14383203,202212.0,3648.8598574821854,46826.88836104513
6,A14320304,202101.0,17268.23618090452,65948.63819095478
6,A14320304,202102.0,10289.224246231155,46141.788944723616
6,A14320304,202103.0,7888.234296482412,47234.628768844224
6,A14320304,202104.0,6965.547738693467,42150.667085427136
6,A14320304,202105.0,5738.870603015075,43259.39824120603
6,A14320304,202106.0,5501.685301507538,46602.84736180904
6,A14320304,202107.0,7326.641959798995,82321.80527638191
6,A14320304,202108.0,2786.040829145729,64148.73555276382
6,A14320304,202109.0,4008.804648241206,45855.76444723618
6,A14320304,202110.0,7418.423994974874,47098.93907035176
6,A14320304,202111.0,9278.486180904523,48435.05025125628
6,A14320304,202112.0,11826.62311557789,55320.73743718593
6,A14320304,202212.0,17936.0716080402,64118.6783919598
6,A14320304,202212.0,11749.979271356784,49767.334798994976
6,A14320304,202212.0,9583.774497487437,50503.10866834171
6,A14320304,202212.0,7339.728015075377,44972.25314070352
6,A14320304,202212.0,6878.939070351758,44967.00439698492
6,A14320304,202212.0,6228.756281407035,50344.97487437186
6,A14320304,202212.0,7240.238693467337,75563.3417085427
6,A14320304,202212.0,4080.4824120603016,68877.57412060302
6,A14320304,202212.0,6201.629396984925,49867.96733668342
6,A14320304,202212.0,9567.986809045226,52059.95917085427
6,A14320304,202212.0,10711.604899497488,53292.39007537688
6,A14320304,202212.0,15328.309045226131,64613.12060301508
8,A14382101,202101.0,22741.738095238095,100812.49206349206
8,A14382101,202102.0,22919.72619047619,92337.06746031746
8,A14382101,202103.0,16591.309523809523,67238.41269841269
8,A14382101,202104.0,17847.984126984127,71977.3492063492
8,A14382101,202105.0,15841.230158730159,69500.63492063493
8,A14382101,202106.0,22361.896825396827,86208.84126984127
8,A14382101,202107.0,26685.40873015873,118054.97222222222
8,A14382101,202108.0,27413.146825396827,169922.3134920635
8,A14382101,202109.0,20560.722222222223,84533.85714285714
8,A14382101,202110.0,19732.928571428572,72856.97619047618
8,A14382101,202111.0,20768.305555555555,80454.41666666667
8,A14382101,202112.0,20971.472222222223,85035.87698412698
8,A14382101,202212.0,23956.81746031746,97120.98412698413
8,A14382101,202212.0,22620.31349206349,92148.44841269842
8,A14382101,202212.0,16297.849206349207,71669.51587301587
8,A14382101,202212.0,18179.18253968254,63501.48412698413
8,A14382101,202212.0,11005.948412698413,78325.19444444444
8,A14382101,202212.0,18595.571428571428,88875.61111111111
8,A14382101,202212.0,30225.416666666668,125502.63888888889
8,A14382101,202212.0,27795.115079365078,148258.21031746033
8,A14382101,202212.0,19515.448412698413,91661.32142857143
8,A14382101,202212.0,17511.099206349205,77686.29761904762
8,A14382101,202212.0,26080.75396825397,83711.94444444444
8,A14382101,202212.0,22570.126984126986,94899.73015873016
9,A10026874,202101.0,36883.04568527919,87029.39086294416
9,A10026874,202102.0,33220.15228426396,79444.1116751269
9,A10026874,202103.0,17161.218274111674,53609.187817258884
9,A10026874,202104.0,24224.41624365482,64795.3807106599
9,A10026874,202105.0,23946.548223350255,62406.497461928935
9,A10026874,202106.0,26176.040609137057,73504.06091370559
9,A10026874,202107.0,26807.969543147206,98085.68527918782
9,A10026874,202108.0,26960.45685279188,131484.77157360406
9,A10026874,202109.0,24399.94923857868,74656.6497461929
9,A10026874,202110.0,23085.939086294416,65570.65989847716
9,A10026874,202111.0,24013.908629441623,65622.8426395939
9,A10026874,202112.0,28174.720812182743,71139.18781725888
9,A10026874,202212.0,39648.37563451777,87158.42639593908
9,A10026874,202212.0,37757.51269035533,84040.05076142131
9,A10026874,202212.0,24624.619289340102,63232.69035532995
9,A10026874,202212.0,21826.192893401014,63923.197969543144
9,A10026874,202212.0,15350.203045685279,53803.95939086295
9,A10026874,202212.0,22962.18274111675,70944.26395939087
9,A10026874,202212.0,28064.8730964467,108799.59390862944
9,A10026874,202212.0,29389.39086294416,127182.8426395939
9,A10026874,202212.0,26307.15736040609,81242.63959390864
9,A10026874,202212.0,23585.17766497462,68118.88324873097
9,A10026874,202212.0,26288.527918781725,73109.54314720813
9,A10026874,202212.0,28208.781725888326,77644.1116751269
11,A10025985,202101.0,30234.115925058548,78692.13700234191
11,A10025985,202102.0,27938.330210772834,73663.5644028103
11,A10025985,202103.0,13721.5,50114.21662763466
11,A10025985,202104.0,20607.696721311477,60737.392271662764
11,A10025985,202105.0,13420.442622950819,50883.9906323185
11,A10025985,202106.0,21887.78337236534,64985.83957845433
11,A10025985,202107.0,22560.74707259953,80947.91334894614
11,A10025985,202108.0,24830.865339578453,106124.17915690866
11,A10025985,202109.0,21167.695550351287,64977.730679156906
11,A10025985,202110.0,20479.25292740047,60212.016393442624
11,A10025985,202111.0,21357.838407494146,63694.17330210773
11,A10025985,202112.0,23905.58430913349,68058.61709601873
11,A10025985,202212.0,31177.940281030445,80031.96838407493
11,A10025985,202212.0,29908.74355971897,78566.22599531616
11,A10025985,202212.0,21075.27049180328,61360.11826697892
11,A10025985,202212.0,20996.868852459018,65179.772833723655
11,A10025985,202212.0,14118.930913348946,53723.77868852459
11,A10025985,202212.0,22166.30913348946,66337.925058548
11,A10025985,202212.0,26927.984777517566,97896.79039812647
11,A10025985,202212.0,28227.928571428572,112076.28922716627
11,A10025985,202212.0,24658.407494145198,74647.08430913348
11,A10025985,202212.0,28499.560889929744,71710.556206089
11,A10025985,202212.0,31461.918032786885,76921.48477751756
11,A10025985,202212.0,27374.52576112412,79793.7412177986
13,A14381512,202101.0,11129.500860585198,46664.148020654044
13,A14381512,202102.0,14091.34595524957,49444.048192771086
13,A14381512,202103.0,11061.409638554216,38722.27022375215
13,A14381512,202104.0,9536.586919104991,40357.65404475043
13,A14381512,202105.0,8566.070567986231,35779.83993115318
13,A14381512,202106.0,8859.750430292599,37151.6265060241
13,A14381512,202107.0,8152.442340791738,40710.497418244406
13,A14381512,202108.0,18382.485370051636,76748.88812392426
13,A14381512,202109.0,3852.0223752151464,50277.77108433735
13,A14381512,202110.0,7459.401032702238,39512.70567986231
13,A14381512,202111.0,10233.676419965577,39314.072289156626
13,A14381512,202112.0,7753.017211703958,39321.19277108434
13,A14381512,202212.0,13724.129087779691,46020.68674698795
13,A14381512,202212.0,16953.564543889846,47998.00516351119
13,A14381512,202212.0,9598.421686746988,41170.45266781411
13,A14381512,202212.0,8975.28743545611,42981.19104991394
13,A14381512,202212.0,9194.039586919105,38526.2082616179
13,A14381512,202212.0,8156.349397590361,38120.46299483649
13,A14381512,202212.0,10132.6247848537,45767.39242685026
13,A14381512,202212.0,15380.08777969019,66909.76075731497
13,A14381512,202212.0,4971.511187607573,57155.93459552496
13,A14381512,202212.0,8319.092943201376,42462.104991394146
13,A14381512,202212.0,9672.88296041308,43396.30808950086
13,A14381512,202212.0,10525.82960413081,44290.786574870916
14,A14380605,202101.0,15508.112582781458,77102.64900662252
14,A14380605,202102.0,14831.225165562913,70488.50993377484
14,A14380605,202103.0,10157.913907284768,52662.384105960264
14,A14380605,202104.0,8942.119205298013,57180.3642384106
14,A14380605,202105.0,8218.509933774834,52931.258278145695
14,A14380605,202106.0,11569.238410596026,63193.774834437085
14,A14380605,202107.0,12962.05298013245,84131.02649006623
14,A14380605,202108.0,14112.880794701987,120772.35099337748
14,A14380605,202109.0,10436.490066225166,65444.867549668874
14,A14380605,202110.0,8938.675496688742,58396.35761589404
14,A14380605,202111.0,11711.15894039735,62505.79470198676
14,A14380605,202112.0,46848.17880794702,97660.96026490066
14,A14380605,202212.0,15378.112582781458,73714.33774834438
14,A14380605,202212.0,15048.874172185431,71034.1059602649
14,A14380605,202212.0,11803.543046357616,55837.98013245033
14,A14380605,202212.0,12295.794701986755,58302.28476821192
14,A14380605,202212.0,7514.76821192053,54114.30463576159
14,A14380605,202212.0,13912.218543046358,65019.53642384106
14,A14380605,202212.0,17708.443708609273,97278.31125827815
14,A14380605,202212.0,18709.635761589405,113933.94039735099
14,A14380605,202212.0,14153.907284768213,72051.2582781457
14,A14380605,202212.0,15402.913907284768,55562.25165562914
14,A14380605,202212.0,23512.98013245033,68765.62913907284
14,A14380605,202212.0,60516.622516556294,107631.19205298013
15,A14380414,202101.0,16197.03125,65920.88169642857
15,A14380414,202102.0,13457.578125,48361.50669642857
15,A14380414,202103.0,9993.604910714286,48117.75669642857
15,A14380414,202104.0,8210.747767857143,43379.31919642857
15,A14380414,202105.0,8430.245535714286,45174.52008928572
15,A14380414,202106.0,10243.18080357143,52841.908482142855
15,A14380414,202107.0,14897.779017857143,95153.33705357143
15,A14380414,202108.0,9525.78125,74202.63392857143
15,A14380414,202109.0,8093.482142857143,47886.16071428572
15,A14380414,202110.0,8162.34375,48428.627232142855
15,A14380414,202111.0,12628.638392857143,52003.671875
15,A14380414,202112.0,15031.261160714286,61020.591517857145
15,A14380414,202212.0,15988.861607142857,63424.82142857143
15,A14380414,202212.0,13811.529017857143,53245.24553571428
15,A14380414,202212.0,10129.107142857143,50709.12946428572
15,A14380414,202212.0,8037.243303571428,45426.11607142857
15,A14380414,202212.0,7399.408482142857,46257.25446428572
15,A14380414,202212.0,11695.926339285714,56255.69196428572
15,A14380414,202212.0,39379.82142857143,83939.58705357143
15,A14380414,202212.0,11099.698660714286,77980.50223214286
15,A14380414,202212.0,7598.4375,50629.140625
15,A14380414,202212.0,8018.035714285715,52130.72544642857
15,A14380414,202212.0,13078.125,53890.669642857145
