,kaptCode,Date,electC,electComb
1,A11052201,202101.0,3005.8233944954127,51797.86467889908
1,A11052201,202102.0,4229.532110091744,48733.178899082566
1,A11052201,202103.0,4599.201834862385,39350.279816513765
1,A11052201,202104.0,4350.825688073394,42091.33027522936
1,A11052201,202105.0,4327.587155963302,38893.34403669725
1,A11052201,202106.0,2887.461009174312,40464.84633027523
1,A11052201,202107.0,4899.447247706422,44254.53899082569
1,A11052201,202108.0,-3998.630733944954,90784.87844036697
1,A11052201,202109.0,-350.98623853211006,40926.85779816514
1,A11052201,202110.0,0.0,37070.50458715596
1,A11052201,202111.0,3089.7247706422017,40833.279816513765
1,A11052201,202112.0,3419.5504587155965,44072.922018348625
1,A11052201,202212.0,5560.243119266055,51092.62844036697
1,A11052201,202212.0,3699.243119266055,49833.89908256881
1,A11052201,202212.0,4760.408256880734,42225.38532110092
1,A11052201,202212.0,4960.392201834862,44992.18119266055
1,A11052201,202212.0,4801.756880733945,39959.41743119266
1,A11052201,202212.0,3467.419724770642,40513.58944954129
1,A11052201,202212.0,2094.8325688073396,58011.0252293578
1,A11052201,202212.0,567.4311926605504,71749.08256880734
1,A11052201,202212.0,467.88990825688074,47709.08256880734
1,A11052201,202212.0,1248.3440366972477,39932.42660550459
1,A11052201,202212.0,5358.527522935779,46937.908256880735
1,A11052201,202212.0,6142.855504587156,49411.6628440367
6,A11077101,202101.0,12402.040261153428,40207.41566920566
6,A11077101,202102.0,31914.0,31914.0
6,A11077101,202103.0,5922.257889009793,33188.43852013058
6,A11077101,202104.0,5142.810663764962,29342.745375408052
6,A11077101,202105.0,6553.8237214363435,30768.54624591948
6,A11077101,202106.0,3499.6060935799783,31520.0957562568
6,A11077101,202107.0,8546.815016322089,48948.719260065285
6,A11077101,202108.0,-2764.778019586507,37396.7127312296
6,A11077101,202109.0,2299.537540805223,31018.819368879216
6,A11077101,202110.0,7303.288356909685,32499.175190424376
6,A11077101,202111.0,2654.3786724700763,32562.474428726877
6,A11077101,202112.0,6246.946681175191,37183.72578890098
6,A11077101,202212.0,6863.917301414581,39136.00652883569
6,A11077101,202212.0,5880.990206746464,33539.69532100109
6,A11077101,202212.0,6005.900979325354,35525.182807399346
6,A11077101,202212.0,5391.22633297062,31920.323177366703
6,A11077101,202212.0,4978.036996735582,32352.813928182808
6,A11077101,202212.0,6074.983677910773,35573.28618063112
6,A11077101,202212.0,1003.879216539717,47956.19695321001
6,A11077101,202212.0,6237.380848748639,47556.662676822634
6,A11077101,202212.0,5327.941240478781,35026.4613710555
6,A11077101,202212.0,6484.905331882481,37059.508161044614
6,A11077101,202212.0,6666.611203103563,36373.36665562758
6,A11077101,202212.0,9362.168661588683,44390.42763873776
7,A11055002,202101.0,18271.909722222223,69972.25694444444
7,A11055002,202102.0,17894.479166666668,66129.89583333333
7,A11055002,202103.0,11862.5,47734.20138888889
7,A11055002,202104.0,11369.375,52093.47222222222
7,A11055002,202105.0,10805.173611111111,49012.63888888889
7,A11055002,202106.0,14804.017361111111,57802.10763888889
7,A11055002,202107.0,80519.60763888889,80519.60763888889
7,A11055002,202108.0,14858.986111111111,90587.80555555556
7,A11055002,202109.0,10905.128472222223,56252.45486111111
7,A11055002,202110.0,10901.815972222223,52546.052083333336
7,A11055002,202111.0,14623.861111111111,58827.57638888889
7,A11055002,202112.0,14631.732638888889,14631.732638888889
7,A11055002,202212.0,18317.11111111111,68963.5
7,A11055002,202212.0,17636.78125,66631.32986111111
7,A11055002,202212.0,11376.274305555555,51178.84375
7,A11055002,202212.0,12387.975694444445,56057.24652777778
7,A11055002,202212.0,11903.767361111111,52003.94097222222
7,A11055002,202212.0,16374.333333333334,61614.92361111111
7,A11055002,202212.0,17434.097222222223,82932.53472222222
7,A11055002,202212.0,18559.64236111111,95695.19791666667
7,A11055002,202212.0,13484.652777777777,61582.67361111111
7,A11055002,202212.0,17699.598580917875,62121.2969504831
7,A11055002,202212.0,17440.04513888889,65415.35763888889
7,A11055002,202212.0,20727.5,70604.47916666667
11,A11001203,202101.0,15282.954545454546,55864.60227272727
11,A11001203,202102.0,14902.78409090909,51986.13636363636
