,kaptCode,Elec_Con
0,A13120701,0.0
1,A13184401,0.0
2,A13183202,0.0
3,A13184301,1.0
4,A13183504,0.0
5,A13183701,0.0
6,A13181203,1.0
7,A13120403,1.0
8,A13184107,1.0
9,A13183405,0.0
10,A13120704,0.0
11,A13184502,1.0
12,A13183303,0.0
13,A13120001,0.0
14,A13188406,0.0
15,A13177701,1.0
16,A13183204,1.0
17,A13184208,0.0
18,A13183502,0.0
19,A13181201,0.0
20,A13175103,0.0
22,A10028033,1.0
23,A10025159,1.0
25,A10024703,1.0
27,A10024443,1.0
28,A10024741,1.0
31,A13185602,0.0
32,A13185603,0.0
33,A13170401,1.0
34,A13186306,1.0
35,A13186401,0.0
36,A13122104,0.0
37,A13186305,0.0
38,A13185607,0.0
39,A13122001,0.0
40,A13187501,0.0
41,A13187702,0.0
43,A13176801,1.0
44,A13114103,1.0
45,A13184804,1.0
46,A13184609,0.0
47,A13184610,0.0
48,A13114106,0.0
49,A13185508,0.0
50,A13185501,0.0
51,A13185507,1.0
52,A13185502,0.0
53,A13114002,0.0
54,A13185402,1.0
55,A13114201,0.0
56,A10025855,0.0
58,A10026469,0.0
59,A13123102,0.0
60,A13176102,0.0
61,A13123002,0.0
62,A13123001,0.0
63,A13123101,0.0
71,A13186801,0.0
72,A13186503,1.0
73,A13176902,0.0
74,A13113002,0.0
75,A13113006,0.0
76,A13186905,0.0
77,A13113001,0.0
78,A13186502,1.0
79,A13178101,0.0
80,A13176901,0.0
81,A13113003,0.0
82,A13187306,0.0
83,A13186504,
84,A13187406,0.0
85,A13113004,0.0
86,A13187302,0.0
87,A13187305,0.0
88,A13186907,0.0
89,A13187004,0.0
90,A13186708,0.0
91,A13187201,0.0
92,A13187203,0.0
93,A13113008,0.0
94,A13113007,0.0
95,A10025397,1.0
97,A10027775,0.0
98,A10025137,1.0
