,kaptCode,Elec_Con
0,A12101001,0.0
1,A12175203,0.0
2,A10027951,1.0
3,A10027906,0.0
4,A10027090,0.0
6,A12170601,0.0
7,A12102008,0.0
8,A12102005,0.0
9,A12180404,0.0
10,A12180407,0.0
11,A12170603,1.0
12,A12170602,0.0
13,A12102002,0.0
14,A12180401,0.0
15,A12180506,0.0
16,A10024408,1.0
17,A10024626,0.0
18,A12185304,0.0
19,A12179001,0.0
20,A12179005,0.0
21,A12179004,1.0
22,A12185303,0.0
23,A12179002,0.0
25,A12103002,0.0
28,A12181406,0.0
29,A12170401,0.0
30,A12104007,0.0
31,A12181403,0.0
32,A12104005,0.0
33,A12104001,0.0
34,A12181404,0.0
35,A12187602,1.0
36,A10028006,0.0
37,A12187501,0.0
38,A12106001,0.0
39,A12105001,0.0
41,A12181103,1.0
42,A12172401,1.0
43,A12181101,0.0
44,A12181102,0.0
45,A10025003,0.0
46,A12109002,0.0
47,A12109001,1.0
48,A12187403,0.0
49,A10026036,0.0
50,A10024347,1.0
51,A12171201,0.0
52,A12185602,1.0
53,A12185605,1.0
54,A12185606,0.0
55,A12111001,1.0
56,A12185504,0.0
57,A12185603,1.0
58,A10024974,0.0
59,A12112001,0.0
60,A12112002,0.0
61,A10027714,1.0
62,A12119007,0.0
63,A12188201,1.0
64,A12188205,0.0
65,A12188202,0.0
66,A12119006,0.0
67,A12119004,1.0
68,A10025633,0.0
69,A12177802,0.0
70,A10024425,0.0
71,A12182901,1.0
72,A12170702,0.0
73,A10028177,1.0
74,A12115001,1.0
75,A12114001,0.0
76,A12174601,1.0
78,A10024891,1.0
79,A12123001,0.0
80,A12182101,0.0
81,A12182401,0.0
82,A10026053,1.0
85,A12186901,0.0
87,A12185001,0.0
88,A12125001,1.0
89,A12185003,0.0
90,A12185004,0.0
91,A12171101,0.0
92,A12125202,0.0
93,A10027157,0.0
94,A12187901,1.0
95,A12187906,1.0
96,A12187904,1.0
97,A12187703,0.0
98,A12187905,0.0
99,A12187902,1.0
100,A12127007,1.0
101,A12127004,0.0
102,A12127005,0.0
103,A12127003,1.0
104,A12127001,0.0
105,A12127006,0.0
106,A12179508,0.0
107,A12179504,0.0
108,A12179503,0.0
109,A12127002,0.0
110,A12179502,1.0
111,A12127008,0.0
112,A12179501,1.0
113,A12179505,0.0
