,kaptCode,Date,electC,electComb
0,A12101001,202212.0,12539.278846153846,45239.807692307695
0,A12101001,202212.0,11995.0,44057.5
0,A12101001,202212.0,8050.048076923077,33818.605769230766
0,A12101001,202212.0,8327.64423076923,37041.29807692308
0,A12101001,202212.0,7014.903846153846,33442.21153846154
0,A12101001,202212.0,7075.096153846154,37418.50961538462
0,A12101001,202212.0,5381.971153846154,51907.16346153846
0,A12101001,202212.0,8643.89423076923,63131.58653846154
0,A12101001,202212.0,7113.461538461538,40196.92307692308
0,A12101001,202212.0,7939.375,38129.66346153846
0,A12101001,202212.0,9663.60576923077,42124.471153846156
0,A12101001,202212.0,12788.942307692309,48023.07692307692
1,A12175203,202212.0,24806.46846846847,68608.22908622908
1,A12175203,202212.0,25966.769626769626,69470.97812097812
1,A12175203,202212.0,17072.149292149294,54101.63449163449
1,A12175203,202212.0,15655.075933075934,56963.240669240666
1,A12175203,202212.0,12417.243243243243,49765.742599742596
1,A12175203,202212.0,13543.47232947233,52825.35392535393
1,A12175203,202212.0,22868.23166023166,80318.65894465895
1,A12175203,202212.0,24974.143114543116,102224.71454311455
1,A12175203,202212.0,22681.249163449163,78241.38043758043
1,A12175203,202212.0,16990.313256113255,60385.9528957529
1,A12175203,202212.0,15003.732818532819,58166.613127413126
1,A12175203,202212.0,15624.09111969112,59437.72818532818
2,A10027951,202212.0,18307.114427860695,40462.18905472637
2,A10027951,202212.0,19266.716417910447,41466.36815920398
2,A10027951,202212.0,12083.930348258706,29989.900497512437
2,A10027951,202212.0,9560.248756218905,30159.15422885572
2,A10027951,202212.0,7726.915422885572,27558.109452736317
2,A10027951,202212.0,9512.636815920398,29127.960199004974
2,A10027951,202212.0,3391.3432835820895,33786.41791044776
2,A10027951,202212.0,5824.278606965174,39112.08955223881
2,A10027951,202212.0,8749.55223880597,32787.562189054726
2,A10027951,202212.0,9907.910447761195,31444.17910447761
2,A10027951,202212.0,11092.189054726368,33916.069651741294
2,A10027951,202212.0,11540.845771144279,34495.12437810945
3,A10027906,202212.0,-3995.815160955348,50698.743509865
3,A10027906,202212.0,6956.060228452752,60538.53167185878
3,A10027906,202212.0,4977.46313603323,50392.58255451713
3,A10027906,202212.0,9265.06230529595,59366.81723779855
3,A10027906,202212.0,26729.69158878505,72352.71339563862
3,A10027906,202212.0,1553.692627206646,51930.31775700935
3,A10027906,202212.0,2065.9532710280373,81245.16407061266
3,A10027906,202212.0,2605.0643821391486,102586.68743509865
3,A10027906,202212.0,4528.152647975078,70853.93665628244
3,A10027906,202212.0,30311.589823468326,77645.31775700934
3,A10027906,202212.0,30291.881619937696,86281.08203530633
3,A10027906,202212.0,38129.504672897194,90709.89927310488
4,A10027090,202212.0,29499.050301810865,82836.3138832998
4,A10027090,202212.0,15409.561368209255,65226.92555331992
4,A10027090,202212.0,-382.49295774647885,53061.39034205231
4,A10027090,202212.0,530.9336016096579,48940.63179074447
4,A10027090,202212.0,2529.211267605634,49460.35814889336
4,A10027090,202212.0,3625.6438631790743,65891.05633802817
4,A10027090,202212.0,2252.321931589537,97579.1629778672
4,A10027090,202212.0,6242.851106639839,92156.01006036217
4,A10027090,202212.0,6340.334004024145,63572.849094567406
4,A10027090,202212.0,6475.573440643863,59650.281690140844
4,A10027090,202212.0,236.8450704225352,57654.249496981894
4,A10027090,202212.0,32636.665995975854,94900.7505030181
6,A12170601,202212.0,12447.981574539364,54090.58961474037
6,A12170601,202212.0,14154.336683417085,52730.61474036851
6,A12170601,202212.0,10901.89782244556,43657.30150753769
6,A12170601,202212.0,10154.020100502512,48437.96147403685
6,A12170601,202212.0,11210.931323283083,44591.092127303185
6,A12170601,202212.0,13039.499162479062,49763.59966499163
6,A12170601,202212.0,13924.402010050251,75056.51926298157
6,A12170601,202212.0,18262.378559463985,86725.90284757118
6,A12170601,202212.0,12971.011725293132,49356.958123953096
6,A12170601,202212.0,15265.557788944723,47487.835845896145
6,A12170601,202212.0,16251.530988274706,51490.6432160804
6,A12170601,202212.0,16715.341708542714,54702.54438860971
7,A12102008,202212.0,9955.610541727672,50852.374816983895
7,A12102008,202212.0,9298.12737920937,51150.55783308931
7,A12102008,202212.0,9270.462664714494,44258.26647144949
7,A12102008,202212.0,9259.75402635432,47230.00292825769
7,A12102008,202212.0,9262.411420204979,43409.71742313324
7,A12102008,202212.0,9729.616398243046,45067.33235724744
7,A12102008,202212.0,13426.358711566618,62576.21229868229
