,kaptCode,Elec_Con
0,A13991017,1.0
1,A13905208,0.0
2,A13905202,1.0
3,A13985107,0.0
4,A13984604,0.0
5,A13984411,0.0
6,A13905102,1.0
7,A13984603,0.0
8,A13905204,0.0
9,A13985201,1.0
10,A13985106,0.0
11,A13984813,0.0
12,A13987501,0.0
13,A13905105,1.0
14,A13987503,0.0
15,A13984814,0.0
16,A13984004,0.0
17,A13991016,1.0
18,A13985103,1.0
19,A13985105,0.0
20,A13984409,0.0
21,A13984003,0.0
22,A13995602,0.0
23,A13905003,0.0
24,A13905301,0.0
25,A13987502,0.0
26,A13991018,0.0
27,A13905302,1.0
28,A13991015,1.0
29,A13905101,0.0
30,A13984005,0.0
31,A10027121,0.0
32,A10027716,0.0
33,A10025097,1.0
36,A13980513,0.0
37,A13924003,0.0
38,A13994501,1.0
39,A13980801,0.0
40,A13980010,0.0
41,A13980415,0.0
42,A13980018,0.0
43,A13980107,1.0
44,A13980509,0.0
45,A13980009,0.0
46,A13980014,0.0
47,A13980012,0.0
48,A13924004,0.0
49,A13980510,0.0
50,A13924205,0.0
51,A13980102,0.0
52,A13980604,0.0
53,A13980413,0.0
54,A13980511,0.0
55,A13980105,0.0
56,A13980402,1.0
57,A13980108,0.0
58,A13980407,0.0
59,A13980803,1.0
60,A13980004,1.0
61,A13980706,0.0
62,A13980403,0.0
63,A13980401,1.0
64,A13980017,0.0
65,A13980512,0.0
66,A13980411,0.0
67,A13980019,0.0
69,A13980006,0.0
70,A10023991,1.0
71,A10023990,1.0
72,A13987305,0.0
73,A13987303,0.0
74,A13993502,0.0
75,A13923104,0.0
76,A13923106,0.0
77,A13923102,0.0
78,A13987304,0.0
79,A13977913,0.0
80,A13987205,0.0
81,A13923108,0.0
82,A13993901,0.0
83,A13987301,0.0
84,A13987302,0.0
85,A13987306,0.0
86,A13993503,0.0
87,A13993501,0.0
88,A13923103,0.0
90,A13983810,1.0
92,A13974103,0.0
93,A13983712,0.0
94,A13920804,0.0
95,A13920106,0.0
96,A13981608,0.0
97,A13920707,0.0
98,A13920209,0.0
99,A13981402,0.0
100,A13982701,0.0
101,A13920205,0.0
102,A13920001,1.0
103,A13982301,0.0
104,A13983815,0.0
105,A13981604,1.0
106,A13981407,0.0
107,A13921005,0.0
108,A13983707,0.0
109,A13981405,0.0
110,A13983608,0.0
111,A13982002,0.0
112,A13982604,0.0
113,A13982103,0.0
114,A13920706,0.0
115,A13981901,0.0
116,A13982003,0.0
117,A13920105,0.0
118,A13971501,0.0
119,A13920102,0.0
120,A13989701,0.0
121,A13920803,0.0
122,A13994302,0.0
123,A13983713,0.0
124,A13983709,0.0
125,A13981606,0.0
126,A13981304,0.0
127,A13983803,0.0
128,A13980903,0.0
129,A13982702,0.0
130,A13983816,0.0
131,A13981001,0.0
132,A13982005,0.0
133,A13974101,0.0
134,A13982704,0.0
135,A13982202,0.0
136,A13982101,0.0
137,A13920207,0.0
138,A13981903,0.0
139,A13983101,0.0
140,A13920506,0.0
141,A13920703,0.0
142,A13920202,1.0
143,A13981006,0.0
144,A13983811,1.0
145,A13971502,0.0
146,A13989702,0.0
147,A13920104,0.0
148,A13983801,1.0
150,A13981204,0.0
151,A13983004,0.0
152,A13920501,0.0
153,A13920802,0.0
154,A13981208,1.0
155,A13983105,0.0
156,A10027601,0.0
157,A10025133,1.0
159,A10024547,0.0
162,A13985402,1.0
163,A13985907,0.0
164,A13985605,1.0
165,A13986207,0.0
166,A13985904,0.0
167,A13922406,0.0
168,A13922105,1.0
169,A13922001,1.0
170,A13986606,0.0
171,A13922102,0.0
172,A13986004,0.0
173,A13986013,0.0
174,A13985909,0.0
175,A13922907,0.0
176,A13922903,0.0
177,A13922103,0.0
178,A13986509,0.0
179,A13922910,0.0
180,A13972601,0.0
181,A13986302,0.0
182,A13985908,0.0
183,A13922909,0.0
184,A13922114,0.0
185,A13986111,0.0
186,A13986701,1.0
187,A13922111,0.0
188,A13922908,0.0
190,A13972603,1.0
191,A13986306,0.0
192,A13922904,0.0
193,A13986703,1.0
194,A13986012,0.0
195,A13986702,0.0
196,A13986504,0.0
197,A13985406,1.0
198,A13922110,1.0
200,A13922108,1.0
201,A13986505,0.0
202,A13986201,1.0
203,A13922003,1.0
204,A13922905,0.0
205,A13986009,0.0
206,A13922901,1.0
207,A13922002,0.0
208,A13972602,0.0
