,kaptCode,Date,electC,electComb
0,A13991017,202212.0,15269.897777777778,66682.96444444444
0,A13991017,202212.0,6736.857777777778,49609.96888888889
0,A13991017,202212.0,4202.586666666667,51594.85333333333
0,A13991017,202212.0,5169.955555555555,47710.75555555556
0,A13991017,202212.0,5150.008888888889,49184.40888888889
0,A13991017,202212.0,2413.0577777777776,58241.502222222225
0,A13991017,202212.0,5079.466666666666,84990.57777777778
0,A13991017,202212.0,7579.626666666667,69826.42666666667
0,A13991017,202212.0,4773.213333333333,51424.63555555556
0,A13991017,202212.0,6505.48,54545.08
0,A13991017,202212.0,9342.924444444445,57141.36888888889
0,A13991017,202212.0,15858.395555555555,71686.17333333334
1,A13905208,202212.0,6758.826619964973,6758.826619964973
1,A13905208,202212.0,6985.026269702276,6985.026269702276
1,A13905208,202212.0,4592.732049036777,4592.732049036777
1,A13905208,202212.0,2360.9807355516637,2360.9807355516637
1,A13905208,202212.0,1514.6234676007005,1514.6234676007005
1,A13905208,202212.0,1663.029772329247,1663.029772329247
1,A13905208,202212.0,2441.9614711033273,2441.9614711033273
1,A13905208,202212.0,2830.122591943958,2830.122591943958
1,A13905208,202212.0,4857.127845884414,4857.127845884414
1,A13905208,202212.0,1843.9579684763573,1843.9579684763573
1,A13905208,202212.0,5044.868651488617,5044.868651488617
1,A13905208,202212.0,6230.332749562172,6230.332749562172
2,A13905202,202212.0,53469.57081545064,53469.57081545064
2,A13905202,202212.0,45306.309012875536,45306.309012875536
2,A13905202,202212.0,5486.394849785408,49028.92703862661
2,A13905202,202212.0,46142.96137339056,46142.96137339056
2,A13905202,202212.0,47328.36909871244,47328.36909871244
2,A13905202,202212.0,64459.742489270386,64459.742489270386
2,A13905202,202212.0,82061.41630901287,82061.41630901287
2,A13905202,202212.0,6268.798283261803,58497.03862660944
2,A13905202,202212.0,49782.74678111588,49782.74678111588
2,A13905202,202212.0,53231.50214592275,53231.50214592275
2,A13905202,202212.0,54224.03433476395,54224.03433476395
2,A13905202,202212.0,61272.44635193133,61272.44635193133
3,A13985107,202212.0,7267.673076923077,7267.673076923077
3,A13985107,202212.0,6356.865384615385,6356.865384615385
3,A13985107,202212.0,4892.5,4892.5
3,A13985107,202212.0,4358.115384615385,4358.115384615385
3,A13985107,202212.0,4144.153846153846,4144.153846153846
3,A13985107,202212.0,5154.096153846154,5154.096153846154
3,A13985107,202212.0,5581.7692307692305,5581.7692307692305
3,A13985107,202212.0,4945.057692307692,4945.057692307692
3,A13985107,202212.0,4261.076923076923,4261.076923076923
3,A13985107,202212.0,5727.365384615385,5727.365384615385
3,A13985107,202212.0,6852.0192307692305,6852.0192307692305
3,A13985107,202212.0,8683.403846153846,8683.403846153846
4,A13984604,202212.0,40201.770833333336,72532.84722222222
4,A13984604,202212.0,39632.44212962963,71650.16203703704
4,A13984604,202212.0,31712.8125,57477.8587962963
