,kaptCode,Elec_Con
0,A13782601,0.0
1,A13785302,0.0
2,A13706302,1.0
3,A13706002,0.0
4,A13785203,1.0
5,A13782602,1.0
6,A13785301,1.0
7,A13784907,0.0
8,A13783001,1.0
9,A13782902,1.0
10,A13784401,1.0
11,A13784102,1.0
12,A13771601,1.0
14,A13785008,1.0
15,A13785005,1.0
16,A13785201,1.0
17,A13706303,0.0
18,A13785001,0.0
19,A13782804,1.0
20,A13771001,1.0
23,A10025927,1.0
25,A10024171,1.0
27,A13789002,0.0
28,A13713001,1.0
29,A13789201,0.0
30,A13713002,1.0
31,A13789203,0.0
32,A13790003,0.0
33,A13790004,0.0
34,A13778212,1.0
35,A13778201,0.0
36,A13778208,0.0
37,A13778210,0.0
38,A13778205,0.0
39,A13778209,1.0
40,A13778306,0.0
41,A13778203,0.0
42,A13778202,0.0
43,A13778211,1.0
44,A13790002,0.0
45,A13778207,1.0
48,A13778204,0.0
49,A13703019,0.0
50,A13790828,1.0
51,A13703011,1.0
52,A13703027,0.0
53,A13790709,1.0
54,A13790717,0.0
55,A13790929,1.0
56,A13790706,1.0
57,A13790707,0.0
58,A13790604,0.0
59,A13790902,0.0
60,A13790722,1.0
61,A13790701,1.0
62,A13790910,1.0
63,A13790612,0.0
64,A13790716,0.0
65,A13790713,0.0
66,A13790703,1.0
68,A13790620,1.0
69,A13790714,0.0
71,A10026004,1.0
72,A10026227,1.0
74,A13790721,0.0
75,A10025418,1.0
77,A13790726,0.0
79,A10024913,1.0
80,A10027439,1.0
82,A10023971,1.0
83,A13770105,0.0
84,A13704404,0.0
85,A13780403,0.0
86,A13776508,0.0
87,A13776301,0.0
88,A13776510,0.0
89,A13780402,0.0
90,A13704101,1.0
91,A13704104,1.0
92,A13776509,0.0
93,A13780201,0.0
94,A10027205,1.0
95,A10026015,1.0
99,A10026051,1.0
100,A10024254,1.0
102,A13788208,1.0
103,A13770610,1.0
104,A13707016,1.0
105,A13788203,1.0
106,A13785705,0.0
107,A13788002,0.0
108,A13792001,0.0
109,A13785607,1.0
110,A13787105,0.0
111,A13772801,0.0
112,A13770607,1.0
113,A13707006,0.0
114,A13785604,0.0
115,A13786704,0.0
116,A13788003,1.0
118,A13786601,1.0
119,A13770609,1.0
120,A13775101,0.0
121,A13786901,1.0
122,A13788201,1.0
123,A13707002,0.0
124,A13707009,0.0
125,A10028146,0.0
126,A13786803,1.0
128,A13787102,1.0
131,A10026941,1.0
133,A10026411,1.0
134,A10027221,1.0
140,A10024240,1.0
143,A10024552,1.0
144,A10028021,1.0
145,A13718001,0.0
146,A13716001,1.0
147,A10028105,0.0
148,A10028046,0.0
149,A13716002,0.0
150,A13716003,0.0
