,kaptCode,Date,electC,electComb
0,A13782601,202201.0,25183.11111111111,83034.12962962964
0,A13782601,202202.0,24514.51851851852,81137.38888888889
0,A13782601,202203.0,19760.189814814814,68547.875
0,A13782601,202204.0,20340.39351851852,74948.0324074074
0,A13782601,202205.0,15190.37037037037,64374.02777777778
0,A13782601,202206.0,13379.828703703704,66937.18981481482
0,A13782601,202207.0,9126.828703703704,96053.2175925926
0,A13782601,202208.0,5517.87037037037,109177.87037037036
0,A13782601,202209.0,12560.351851851852,79060.76851851853
0,A13782601,202210.0,13980.24074074074,67928.52777777778
0,A13782601,202211.0,18605.791666666668,74269.35648148147
0,A13782601,202212.0,22873.14814814815,79171.94444444444
1,A13785302,202201.0,13238.267094017094,49442.79700854701
1,A13785302,202202.0,7338.24358974359,42750.82905982906
1,A13785302,202203.0,8098.561965811966,44402.06623931624
1,A13785302,202204.0,6627.027777777777,40314.1217948718
1,A13785302,202205.0,7406.901709401709,40977.35042735043
1,A13785302,202206.0,5311.136752136752,44656.094017094016
1,A13785302,202207.0,16270.141025641025,68298.94444444444
1,A13785302,202208.0,-1407.224358974359,57444.46367521367
1,A13785302,202209.0,2870.7863247863247,44943.94871794872
1,A13785302,202210.0,9112.837606837607,46771.34188034188
1,A13785302,202211.0,8587.72435897436,47670.181623931625
1,A13785302,202212.0,14155.096153846154,56945.07478632479
2,A13706302,202201.0,19392.636627906977,82218.2761627907
2,A13706302,202202.0,19370.33430232558,81577.86337209302
2,A13706302,202203.0,15255.127906976744,67104.48837209302
2,A13706302,202204.0,14148.686046511628,70474.90697674418
2,A13706302,202205.0,13918.281976744185,64095.433139534885
2,A13706302,202206.0,16056.311046511628,71148.69476744186
2,A13706302,202207.0,15014.994186046511,100887.69767441861
2,A13706302,202208.0,19374.63953488372,120076.1511627907
2,A13706302,202209.0,17324.281976744187,85783.78779069768
2,A13706302,202210.0,14587.561046511628,72655.29360465116
2,A13706302,202211.0,17837.38953488372,77828.72674418605
2,A13706302,202212.0,20294.252906976744,81676.54941860466
3,A13706002,202201.0,26370.74074074074,26370.74074074074
3,A13706002,202202.0,25799.382716049382,25799.382716049382
3,A13706002,202203.0,20621.35802469136,20621.35802469136
3,A13706002,202204.0,23068.14814814815,23068.14814814815
3,A13706002,202205.0,21238.271604938273,21238.271604938273
3,A13706002,202206.0,22359.753086419754,22359.753086419754
3,A13706002,202207.0,24392.0987654321,24392.0987654321
3,A13706002,202208.0,31961.234567901236,31961.234567901236
3,A13706002,202209.0,27277.16049382716,27277.16049382716
3,A13706002,202210.0,24428.14814814815,24428.14814814815
3,A13706002,202211.0,26057.654320987655,26057.654320987655
3,A13706002,202212.0,26641.35802469136,26641.35802469136
4,A13785203,202201.0,13443.633540372672,50010.372670807454
4,A13785203,202202.0,13844.906832298137,49459.48757763975
4,A13785203,202203.0,12526.521739130434,42688.586956521736
4,A13785203,202204.0,11951.180124223603,44208.260869565216
4,A13785203,202205.0,12042.360248447205,40718.509316770185
4,A13785203,202206.0,12916.987577639751,42321.39751552795
4,A13785203,202207.0,14855.574534161491,61712.23602484472
4,A13785203,202208.0,16674.95341614907,73116.25776397515
4,A13785203,202209.0,10324.47204968944,47540.2950310559
4,A13785203,202210.0,13206.42857142857,44503.05900621118
4,A13785203,202211.0,13006.164596273293,47258.8198757764
4,A13785203,202212.0,14550.201863354037,49634.16149068323
5,A13782602,202201.0,9362.496881496882,73158.42203742203
5,A13782602,202202.0,8094.1663201663205,60449.21829521829
5,A13782602,202203.0,5805.6320166320165,64065.32016632017
5,A13782602,202204.0,5452.964656964657,58088.7027027027
5,A13782602,202205.0,5623.37422037422,58458.571725571725
5,A13782602,202206.0,8780.656964656964,70449.78378378379
5,A13782602,202207.0,10184.933471933471,113797.34511434511
5,A13782602,202208.0,6201.442827442827,104786.95218295218
5,A13782602,202209.0,5965.935550935551,64670.36382536383
5,A13782602,202210.0,4912.954261954262,65231.60291060291
5,A13782602,202211.0,8451.975051975052,65853.16008316008
5,A13782602,202212.0,16812.617463617462,86557.316008316
6,A13785301,202201.0,7788.970297029703,55644.61386138614
6,A13785301,202202.0,6895.960396039604,54751.60396039604
6,A13785301,202203.0,6336.96699669967,46530.99339933993
6,A13785301,202204.0,6602.3102310231025,49111.58415841584
6,A13785301,202205.0,44797.54125412541,44797.54125412541
6,A13785301,202206.0,47208.43564356436,47208.43564356436
6,A13785301,202207.0,69625.13531353135,69625.13531353135
6,A13785301,202208.0,85458.12211221122,162608.18811881187
6,A13785301,202209.0,54477.07590759076,54477.07590759076
6,A13785301,202210.0,50370.46204620462,93744.45544554456
6,A13785301,202211.0,53322.27722772277,98909.17491749175
6,A13785301,202212.0,55622.32673267327,103081.00660066007
7,A13784907,202201.0,41632.67748478702,90234.46247464503
7,A13784907,202202.0,33226.87626774848,72926.18661257607
7,A13784907,202203.0,27869.391480730224,69841.03448275862
7,A13784907,202204.0,14799.269776876268,52137.50507099392
7,A13784907,202205.0,12594.645030425963,49717.20081135903
7,A13784907,202206.0,12983.529411764706,53196.04462474645
7,A13784907,202207.0,22974.584178498986,86069.08722109534
7,A13784907,202208.0,14073.93509127789,78576.5111561866
7,A13784907,202209.0,13147.139959432048,53646.34888438134
7,A13784907,202210.0,16209.858012170385,58083.95537525355
7,A13784907,202211.0,19215.618661257606,63248.96551724138
7,A13784907,202212.0,45785.19269776876,101511.60243407708
8,A13783001,202201.0,21434.416666666668,172995.97916666666
8,A13783001,202202.0,21518.03125,173175.73958333334
8,A13783001,202203.0,19608.708333333332,146423.55208333334
8,A13783001,202204.0,20715.338541666668,155434.08854166666
8,A13783001,202205.0,21223.916666666668,142787.71875
8,A13783001,202206.0,20315.151041666668,150355.46354166666
8,A13783001,202207.0,759.6875,224459.6875
8,A13783001,202208.0,5709.171875,341104.4322916667
8,A13783001,202209.0,15494.125,182563.96875
8,A13783001,202210.0,21167.53125,153211.17708333334
8,A13783001,202211.0,23500.791666666668,159762.40625
8,A13783001,202212.0,25795.713541666668,168598.109375
9,A13782902,202201.0,20643.93203883495,100009.61165048544
9,A13782902,202202.0,12514.902912621359,98703.25242718446
9,A13782902,202203.0,13903.980582524271,82293.20388349515
9,A13782902,202204.0,14480.970873786408,90068.88349514564
9,A13782902,202205.0,10433.59223300971,79942.18446601942
9,A13782902,202206.0,20722.718446601943,85832.28155339806
9,A13782902,202207.0,11864.757281553399,125564.56310679612
9,A13782902,202208.0,9546.699029126214,144581.6504854369
9,A13782902,202209.0,11526.067961165048,101458.39805825242
9,A13782902,202210.0,17195.631067961163,86944.80582524271
9,A13782902,202211.0,20568.59223300971,90881.06796116506
9,A13782902,202212.0,21489.417475728154,93259.22330097087
10,A13784401,202201.0,8712.298136645963,69841.1801242236
10,A13784401,202202.0,5308.571428571428,53059.627329192546
10,A13784401,202203.0,9441.304347826086,62469.75155279503
10,A13784401,202204.0,-629.7515527950311,51054.03726708075
10,A13784401,202205.0,1458.3850931677018,51093.35403726708
10,A13784401,202206.0,1572.3540372670807,57882.167701863356
10,A13784401,202207.0,-1952.3540372670807,85874.72670807454
10,A13784401,202208.0,253.85093167701862,77105.71428571429
10,A13784401,202209.0,1035.2173913043478,54495.5900621118
10,A13784401,202210.0,1072.111801242236,56580.99378881988
10,A13784401,202211.0,3220.1242236024846,57542.049689440995
10,A13784401,202212.0,7375.403726708075,74900.12422360248
11,A13784102,202201.0,28658.743718592967,130802.76381909547
11,A13784102,202202.0,30035.361809045226,126895.4120603015
11,A13784102,202203.0,20898.03015075377,98274.51256281407
11,A13784102,202204.0,20527.341708542714,105291.4120603015
11,A13784102,202205.0,19033.110552763817,96974.06532663316
11,A13784102,202206.0,20289.54271356784,119529.24120603016
11,A13784102,202207.0,36237.175879396986,160084.91457286433
11,A13784102,202208.0,31886.834170854272,207492.1608040201
11,A13784102,202209.0,23647.854271356784,118298.50753768845
11,A13784102,202210.0,21395.19095477387,103761.17085427136
