,kaptCode,Elec_Con
0,A12003001,1.0
1,A12005001,1.0
2,A12070101,0.0
3,A12004001,0.0
4,A12007001,1.0
5,A12008001,0.0
6,A12008003,0.0
7,A12079601,0.0
8,A12079501,0.0
9,A10027851,1.0
10,A10026370,0.0
11,A10024719,1.0
12,A12009303,0.0
13,A12009202,1.0
14,A12009001,0.0
15,A12078704,0.0
16,A12078707,0.0
17,A12009201,0.0
18,A12009304,0.0
19,A12009305,0.0
20,A12009102,0.0
21,A12086001,0.0
22,A12009101,1.0
23,A12078706,0.0
24,A12085303,0.0
25,A12009302,1.0
26,A12009203,0.0
27,A12078705,0.0
28,A12078201,0.0
29,A10025767,0.0
30,A10027681,1.0
31,A10023959,1.0
35,A12017001,0.0
36,A12071101,1.0
37,A12071103,0.0
38,A12011002,0.0
39,A12071102,1.0
40,A10025822,1.0
41,A12010103,0.0
42,A12071001,1.0
43,A12010104,0.0
44,A12010202,0.0
45,A12010001,0.0
46,A12084504,0.0
47,A12071003,1.0
48,A12010203,0.0
49,A12071002,1.0
50,A12084302,0.0
51,A10026604,0.0
52,A10025166,1.0
53,A12010101,1.0
59,A10024532,1.0
60,A12081703,0.0
61,A12081602,0.0
62,A12013001,0.0
63,A12013201,1.0
64,A12013003,1.0
65,A12076601,0.0
66,A12013202,0.0
67,A12013002,0.0
68,A12013101,0.0
69,A12012201,0.0
70,A12072801,0.0
71,A12012202,0.0
72,A12012101,1.0
73,A12012203,0.0
74,A12072802,0.0
75,A10027817,1.0
76,A10025976,0.0
78,A10024938,1.0
79,A10025130,0.0
