,kaptCode,Date,electC,electComb
0,A12003001,202201.0,20302.28888888889,70106.51111111112
0,A12003001,202202.0,20574.327777777777,70704.55
0,A12003001,202203.0,17394.46111111111,59375.23888888889
0,A12003001,202204.0,15051.827777777778,61784.438888888886
0,A12003001,202205.0,14806.56111111111,56709.67222222222
0,A12003001,202206.0,16546.366666666665,63241.03333333333
0,A12003001,202207.0,20703.12222222222,94060.23333333334
0,A12003001,202208.0,21291.76111111111,117364.81666666667
0,A12003001,202209.0,19940.266666666666,84435.21111111112
0,A12003001,202210.0,15658.727777777778,64646.50555555556
0,A12003001,202211.0,18390.766666666666,64813.822222222225
0,A12003001,202212.0,21139.716666666667,68003.32777777778
1,A12005001,202201.0,15876.286919831224,61359.620253164554
1,A12005001,202202.0,15821.097046413503,59494.34599156118
1,A12005001,202203.0,12253.881856540085,47198.01687763713
1,A12005001,202204.0,10837.552742616033,48158.86075949367
1,A12005001,202205.0,10354.430379746835,43948.52320675105
1,A12005001,202206.0,12189.451476793249,46881.77215189873
1,A12005001,202207.0,14291.98312236287,64697.46835443038
1,A12005001,202208.0,14975.569620253165,72515.35864978904
1,A12005001,202209.0,12447.721518987342,54030.71729957806
1,A12005001,202210.0,11580.42194092827,47701.39240506329
1,A12005001,202211.0,13603.924050632912,53656.286919831226
1,A12005001,202212.0,16376.962025316456,59149.45147679325
2,A12070101,202201.0,17243.547237076647,72292.62032085561
2,A12070101,202202.0,17116.75579322638,72409.03743315508
2,A12070101,202203.0,13923.24420677362,58878.73440285205
2,A12070101,202204.0,11168.716577540106,61954.242424242424
2,A12070101,202205.0,4867.860962566845,50749.6256684492
2,A12070101,202206.0,5136.702317290553,52983.86809269162
2,A12070101,202207.0,8962.114081996435,79073.64705882352
2,A12070101,202208.0,5858.828877005348,102733.26737967915
2,A12070101,202209.0,9093.545454545454,75610.4081996435
2,A12070101,202210.0,2794.2673796791446,55658.27807486631
2,A12070101,202211.0,5672.935828877005,58326.91087344028
2,A12070101,202212.0,9913.213903743315,63750.433155080216
3,A12004001,202201.0,20595.45634920635,50857.12301587302
3,A12004001,202202.0,15503.035714285714,42576.706349206346
3,A12004001,202203.0,8307.04365079365,36590.15873015873
3,A12004001,202204.0,7028.453373015873,31687.01488095238
3,A12004001,202205.0,5347.178571428572,32891.0873015873
3,A12004001,202206.0,4528.609126984127,34671.019841269845
3,A12004001,202207.0,7038.623015873016,44812.21428571428
3,A12004001,202208.0,2023.343253968254,41762.083333333336
3,A12004001,202209.0,4074.561507936508,33760.74206349206
3,A12004001,202210.0,7391.149801587301,37771.17956349206
3,A12004001,202211.0,6049.855158730159,38183.0496031746
3,A12004001,202212.0,18229.867063492064,52416.375
4,A12007001,202201.0,9142.830167597765,48953.087150837986
4,A12007001,202202.0,9663.76312849162,48033.87486033519
4,A12007001,202203.0,7666.7910614525135,39250.82458100559
4,A12007001,202204.0,8853.383240223464,43089.87486033519
4,A12007001,202205.0,7428.298324022347,38297.974301675975
4,A12007001,202206.0,7897.332960893855,41204.57318435754
4,A12007001,202207.0,6086.337430167598,52276.24804469274
4,A12007001,202208.0,4591.531843575419,59767.88938547486
4,A12007001,202209.0,6761.2245810055865,42929.29162011173
4,A12007001,202210.0,8410.20558659218,42865.166480446926
4,A12007001,202211.0,8776.014525139664,47310.53966480447
4,A12007001,202212.0,10558.432402234637,51163.102793296086
5,A12008001,202201.0,15130.241379310344,36465.93103448276
5,A12008001,202202.0,15932.724137931034,37268.41379310345
5,A12008001,202203.0,9509.172413793103,30844.862068965518
5,A12008001,202204.0,6872.517241379311,31337.103448275862
5,A12008001,202205.0,5483.0344827586205,27110.51724137931
5,A12008001,202206.0,5207.482758620689,27164.862068965518
5,A12008001,202207.0,6119.827586206897,33591.51724137931
5,A12008001,202208.0,2810.5172413793102,37181.24137931035
5,A12008001,202209.0,4182.517241379311,32505.758620689656
5,A12008001,202210.0,5341.172413793103,29446.344827586207
5,A12008001,202211.0,6486.379310344828,32318.103448275862
5,A12008001,202212.0,9291.655172413793,35702.1724137931
6,A12008003,202201.0,9368.707692307693,51586.53846153846
6,A12008003,202202.0,9165.423076923076,44642.269230769234
6,A12008003,202203.0,8912.192307692309,48440.9
6,A12008003,202204.0,8171.246153846154,43551.5
6,A12008003,202205.0,7487.076923076923,42687.07692307692
6,A12008003,202206.0,8156.884615384615,45742.13846153846
6,A12008003,202207.0,11131.553846153845,68132.23076923077
6,A12008003,202208.0,6385.165384615385,67383.8423076923
6,A12008003,202209.0,7524.846153846154,46039.36923076923
6,A12008003,202210.0,8040.363846153846,47925.54846153846
6,A12008003,202211.0,7937.547692307692,47620.95538461539
6,A12008003,202212.0,9810.426153846154,55293.51076923077
7,A12079601,202201.0,2705.6666666666665,12182.183333333332
7,A12079601,202202.0,607.2833333333333,10422.833333333334
7,A12079601,202203.0,2738.35,10821.95
7,A12079601,202204.0,2768.0,10907.883333333333
7,A12079601,202205.0,2988.5333333333333,11199.883333333333
7,A12079601,202206.0,453.65,8240.65
7,A12079601,202207.0,331.95,10567.95
7,A12079601,202208.0,1065.3333333333333,11203.366666666667
7,A12079601,202209.0,3363.266666666667,11895.283333333333
7,A12079601,202210.0,3716.05,13227.55
7,A12079601,202211.0,3744.85,13256.35
7,A12079601,202212.0,5778.533333333334,15258.416666666666
8,A12079501,202201.0,36499.63075313807,60948.83577405858
8,A12079501,202202.0,31509.35460251046,58201.12238493724
8,A12079501,202203.0,33874.14644351464,33874.14644351464
8,A12079501,202204.0,30510.448744769874,30510.448744769874
8,A12079501,202205.0,30404.078451882844,30404.078451882844
8,A12079501,202206.0,33101.08158995816,33101.08158995816
8,A12079501,202207.0,42836.26046025105,42836.26046025105
8,A12079501,202208.0,39931.407949790795,39931.407949790795
8,A12079501,202209.0,5420.242677824268,32872.57531380753
8,A12079501,202210.0,6785.418410041841,34639.58158995816
8,A12079501,202211.0,7508.6317991631795,35313.516736401674
8,A12079501,202212.0,9730.94769874477,42013.13389121339
9,A10027851,202201.0,20446.55319148936,20446.55319148936
9,A10027851,202202.0,81736.43617021276,81736.43617021276
9,A10027851,202203.0,16582.393617021276,16582.393617021276
9,A10027851,202204.0,13698.829787234043,13698.829787234043
9,A10027851,202205.0,8541.13829787234,8541.13829787234
9,A10027851,202206.0,8134.617021276596,8134.617021276596
9,A10027851,202207.0,10317.872340425532,10317.872340425532
9,A10027851,202208.0,16621.90425531915,16621.90425531915
9,A10027851,202209.0,6075.63829787234,6075.63829787234
9,A10027851,202210.0,11835.840425531915,11835.840425531915
9,A10027851,202211.0,11545.095744680852,11545.095744680852
9,A10027851,202212.0,13854.91489361702,13854.91489361702
10,A10026370,202201.0,18466.3445026178,55759.40732984293
10,A10026370,202202.0,14623.867015706806,46194.657591623036
10,A10026370,202203.0,11638.377486910995,47388.33036649215
10,A10026370,202204.0,8578.735078534031,41180.59895287958
10,A10026370,202205.0,7977.696858638744,40983.86439790576
10,A10026370,202206.0,12188.00942408377,52894.60628272251
10,A10026370,202207.0,22012.7387434555,87118.37748691099
10,A10026370,202208.0,19800.69057591623,77970.52827225131
10,A10026370,202209.0,14074.255497382199,53249.1664921466
10,A10026370,202210.0,9851.761256544503,47179.95497382199
10,A10026370,202211.0,12943.058638743456,49520.06387434555
10,A10026370,202212.0,18557.70104712042,60623.03612565445
11,A10024719,202201.0,20825.74225122349,66086.93311582382
11,A10024719,202202.0,20824.543230016312,65870.5383360522
11,A10024719,202203.0,17500.187601957587,70391.12561174552
11,A10024719,202204.0,7331.1745513866235,46496.30505709625
11,A10024719,202205.0,7764.225122349103,46917.33278955954
11,A10024719,202206.0,10326.47634584013,56050.02446982056
11,A10024719,202207.0,15225.26101141925,87516.93311582382
11,A10024719,202208.0,17052.78140293638,82882.97716150082
11,A10024719,202209.0,11426.337683523654,55407.16965742251
11,A10024719,202210.0,12953.336052202283,57805.897226753674
11,A10024719,202211.0,12542.52039151713,57099.82055464927
11,A10024719,202212.0,26502.194127243067,77687.9282218597
12,A12009303,202201.0,9032.541666666666,46299.708333333336
12,A12009303,202202.0,8790.625,45996.833333333336
12,A12009303,202203.0,8067.041666666667,38381.375
12,A12009303,202204.0,7989.5,41466.833333333336
12,A12009303,202205.0,7647.0,37082.541666666664
12,A12009303,202206.0,7405.083333333333,37622.791666666664
12,A12009303,202207.0,5812.166666666667,47191.833333333336
12,A12009303,202208.0,5574.291666666667,52479.208333333336
12,A12009303,202209.0,6289.891666666666,41690.433333333334
12,A12009303,202210.0,9151.25,41186.708333333336
12,A12009303,202211.0,9237.0,44829.208333333336
12,A12009303,202212.0,10183.333333333334,47802.791666666664
13,A12009202,202201.0,15308.776371308017,51123.01687763713
13,A12009202,202202.0,17305.0,52612.29957805907
13,A12009202,202203.0,14029.599156118144,44062.742616033756
13,A12009202,202204.0,10491.223628691983,44333.50210970464
13,A12009202,202205.0,9273.417721518987,38384.09282700422
13,A12009202,202206.0,39964.11392405063,39964.11392405063
13,A12009202,202207.0,11471.476793248945,53698.5864978903
13,A12009202,202208.0,15971.729957805906,62288.101265822785
13,A12009202,202209.0,14733.502109704641,49812.194092827005
13,A12009202,202210.0,10491.603375527426,42267.59493670886
13,A12009202,202211.0,8988.31223628692,48240.88607594937
13,A12009202,202212.0,49371.919831223626,49371.919831223626
14,A12009001,202201.0,7088.933333333333,18224.4
14,A12009001,202202.0,3515.2,18225.333333333332
14,A12009001,202203.0,-1570.4666666666667,13175.0
14,A12009001,202204.0,3408.4,14073.066666666668
14,A12009001,202205.0,-801.8666666666667,10965.0
14,A12009001,202206.0,2821.4666666666667,11959.4
14,A12009001,202207.0,4860.333333333333,14796.933333333332
14,A12009001,202208.0,2592.4666666666667,16657.6
14,A12009001,202209.0,-2939.0,12627.6
14,A12009001,202210.0,3298.133333333333,14493.533333333333
14,A12009001,202211.0,2498.266666666667,15280.466666666667
14,A12009001,202212.0,1865.4,15411.4
15,A12078704,202201.0,11099.053248136315,48966.41214057508
15,A12078704,202202.0,10084.84132055378,42283.382321618745
15,A12078704,202203.0,10297.626198083068,45224.72949946752
15,A12078704,202204.0,10066.308839190628,41220.93077742279
15,A12078704,202205.0,9651.511182108627,40276.61235356762
15,A12078704,202206.0,7781.045793397231,42537.69116080937
15,A12078704,202207.0,5633.018104366347,56042.11288604899
15,A12078704,202208.0,6454.297124600639,53116.064962726305
15,A12078704,202209.0,7953.4014909478165,42171.17571884984
15,A12078704,202210.0,9318.595314164004,45320.76783812566
15,A12078704,202211.0,9458.108626198084,45294.12566560171
15,A12078704,202212.0,10490.920127795527,52833.16719914803
