,kaptCode,Elec_Con
0,A13679903,0.0
1,A13606002,1.0
2,A13606101,0.0
3,A13606003,0.0
4,A13606106,0.0
5,A13681303,1.0
6,A13606105,0.0
7,A13606107,0.0
8,A13679902,0.0
9,A13606005,0.0
10,A13606201,1.0
11,A13606102,0.0
12,A13681304,0.0
14,A10027227,0.0
15,A13606004,1.0
16,A10028001,0.0
18,A13603401,0.0
19,A13603701,0.0
20,A13603702,1.0
21,A13672101,1.0
22,A13672102,0.0
23,A13604301,1.0
24,A13670801,0.0
25,A13604401,0.0
26,A13607101,0.0
27,A13607301,0.0
28,A13607302,0.0
29,A13608601,0.0
30,A10027189,1.0
32,A13608301,0.0
33,A13677401,1.0
34,A13676501,0.0
35,A13610007,0.0
36,A13685104,0.0
37,A13684306,0.0
38,A13684701,0.0
39,A13677101,0.0
40,A13677206,0.0
41,A13610003,0.0
42,A13610001,0.0
43,A13684605,0.0
44,A13676605,0.0
45,A13610004,0.0
46,A13677807,1.0
47,A13610107,0.0
48,A13610202,0.0
49,A13610301,0.0
50,A13610103,0.0
51,A13676504,0.0
52,A13676703,0.0
53,A13676702,0.0
54,A13610005,0.0
55,A13610201,0.0
56,A13676704,0.0
57,A13610102,0.0
58,A10028000,0.0
59,A13611202,0.0
60,A13611011,1.0
61,A13611201,1.0
62,A13611005,1.0
63,A13611007,0.0
64,A13611006,1.0
65,A13680701,0.0
66,A13611103,0.0
67,A13679403,0.0
68,A13611002,0.0
69,A13611004,0.0
70,A13611010,0.0
71,A13611009,0.0
72,A13611001,0.0
73,A13611102,0.0
74,A13611008,0.0
75,A13679402,0.0
77,A10025638,1.0
78,A13611012,0.0
79,A10023926,1.0
80,A10025753,1.0
81,A13671204,0.0
82,A13671210,0.0
83,A13671209,1.0
84,A13671212,0.0
85,A13671203,0.0
86,A13671207,0.0
87,A13671208,0.0
88,A13671205,0.0
89,A13671213,0.0
90,A13671206,0.0
91,A13686302,0.0
92,A13671211,0.0
94,A13613005,0.0
95,A13613001,1.0
96,A13613201,0.0
97,A13613003,0.0
98,A13613010,0.0
99,A13613009,0.0
100,A13613008,0.0
101,A13613007,1.0
102,A13613002,0.0
103,A13613006,0.0
104,A13612001,0.0
105,A13612002,0.0
106,A13678401,0.0
107,A13614001,1.0
108,A13614301,0.0
109,A13614302,0.0
110,A10026571,0.0
111,A10025461,0.0
112,A10025245,0.0
114,A10024488,1.0
115,A13615003,0.0
116,A13676103,1.0
117,A13681701,0.0
118,A13676101,1.0
119,A13676102,0.0
120,A13615002,0.0
121,A10025283,1.0
