,kaptCode,Date,electC,electComb
0,A13679903,202212.0,13692.760416666666,97651.14583333333
0,A13679903,202212.0,14031.875,96421.19791666667
0,A13679903,202212.0,11029.84375,77146.14583333333
0,A13679903,202212.0,9037.916666666666,80946.14583333333
0,A13679903,202212.0,7648.90625,71026.04166666667
0,A13679903,202212.0,9504.739583333334,80132.29166666667
0,A13679903,202212.0,4680.416666666667,118681.97916666667
0,A13679903,202212.0,-2873.5416666666665,137646.66666666666
0,A13679903,202212.0,10782.916666666666,87906.71875
0,A13679903,202212.0,10569.479166666666,77930.88541666667
0,A13679903,202212.0,11779.270833333334,87783.59375
0,A13679903,202212.0,14287.395833333334,94545.41666666667
1,A13606002,202212.0,29262.06489675516,75910.70796460177
1,A13606002,202212.0,24831.65191740413,69240.79646017699
1,A13606002,202212.0,13280.058997050148,49194.7197640118
1,A13606002,202212.0,13509.970501474927,53234.95575221239
1,A13606002,202212.0,12553.39233038348,48376.54867256637
1,A13606002,202212.0,13015.351032448378,52736.058997050146
1,A13606002,202212.0,19417.699115044248,84252.12389380531
1,A13606002,202212.0,13610.117994100296,53481.474926253686
1,A13606002,202212.0,13540.23598820059,53132.21238938053
1,A13606002,202212.0,14921.828908554573,57952.38938053097
1,A13606002,202212.0,23081.297935103245,70281.06194690266
2,A13606101,202212.0,10670.565217391304,48397.239130434784
2,A13606101,202212.0,10122.695652173914,41069.04347826087
2,A13606101,202212.0,9713.630434782608,43636.45652173913
2,A13606101,202212.0,8992.5,38833.739130434784
2,A13606101,202212.0,6967.413043478261,38043.434782608696
2,A13606101,202212.0,7121.434782608696,43085.217391304344
2,A13606101,202212.0,5248.586956521739,49122.413043478264
2,A13606101,202212.0,7571.565217391304,41262.413043478264
2,A13606101,202212.0,8194.239130434782,43769.19565217391
2,A13606101,202212.0,9653.869565217392,45709.32608695652
2,A13606101,202212.0,11387.195652173914,54781.02173913043
3,A13606003,202212.0,27156.503628447026,74365.98113207547
3,A13606003,202212.0,29530.571843251088,76907.48040638606
3,A13606003,202212.0,23475.052249637156,62443.339622641506
3,A13606003,202212.0,23566.580551523948,66575.60812772134
3,A13606003,202212.0,16167.78809869376,52798.80406386067
3,A13606003,202212.0,12136.294629898404,53772.25979680697
3,A13606003,202212.0,22338.946298984036,88459.77358490566
3,A13606003,202212.0,14861.206095791002,63031.583454281565
