,kaptCode,Elec_Con
0,A13373302,0.0
1,A13373301,0.0
2,A13302203,1.0
3,A13302204,1.0
4,A13385705,0.0
5,A13302001,0.0
6,A13377302,0.0
7,A13385802,0.0
8,A13377301,0.0
9,A13302206,0.0
10,A13388001,0.0
11,A10027969,0.0
12,A10027920,1.0
13,A10027289,0.0
14,A10026900,1.0
15,A10027432,0.0
17,A13305006,1.0
18,A13305005,0.0
19,A13381601,0.0
20,A13305002,0.0
21,A13305003,0.0
22,A13305007,0.0
23,A13381608,0.0
24,A13381604,1.0
25,A13381701,0.0
26,A13307202,0.0
27,A13377902,0.0
28,A13307204,0.0
29,A13377903,0.0
30,A13307201,0.0
31,A13307101,0.0
32,A13373101,0.0
33,A13377703,0.0
34,A13386702,0.0
35,A13307001,0.0
36,A13307002,1.0
37,A13377901,0.0
39,A10026207,1.0
41,A13385301,0.0
42,A13385202,0.0
43,A13308004,0.0
44,A13385303,0.0
45,A13376906,0.0
46,A13308005,0.0
47,A13380104,0.0
48,A13309103,0.0
49,A13309102,0.0
50,A13309101,0.0
51,A10026418,0.0
52,A13380302,1.0
53,A13380301,1.0
54,A10027602,0.0
55,A13380303,0.0
56,A13380602,0.0
57,A13380703,0.0
58,A13309301,0.0
59,A13379001,1.0
60,A13378101,0.0
61,A13380803,1.0
62,A13378102,1.0
63,A13380901,0.0
64,A13309404,0.0
65,A13309402,0.0
66,A10026470,1.0
67,A13378103,0.0
69,A13375907,1.0
70,A13375906,0.0
71,A13375904,0.0
72,A13375901,0.0
73,A13310004,0.0
74,A13384403,0.0
75,A13375905,0.0
76,A13376702,0.0
77,A13375903,0.0
78,A13375902,0.0
79,A13383801,0.0
80,A13375908,0.0
81,A10026748,0.0
82,A13382502,0.0
83,A13311101,0.0
84,A13384301,0.0
85,A13372102,0.0
86,A13372101,1.0
87,A13376405,1.0
88,A13384304,0.0
89,A13392307,0.0
90,A13384303,0.0
91,A13381902,0.0
92,A13382104,1.0
93,A13382106,0.0
94,A10026988,1.0
95,A10024503,1.0
96,A13312303,0.0
97,A13312302,0.0
98,A13378001,0.0
99,A13383301,0.0
100,A13383003,0.0
101,A13382802,0.0
102,A13312101,1.0
104,A13383702,0.0
105,A13316001,1.0
