,kaptCode,Date,electC,electComb
0,A13373302,202201.0,17846.236966824643,40615.05213270142
0,A13373302,202202.0,12143.21327014218,31102.597156398104
0,A13373302,202203.0,7755.611374407583,29702.530805687205
0,A13373302,202204.0,5902.274881516588,26604.123222748814
0,A13373302,202205.0,8118.341232227488,30278.436018957345
0,A13373302,202206.0,4588.289099526066,38444.40284360189
0,A13373302,202207.0,8650.194312796208,47215.028436018954
0,A13373302,202208.0,10834.052132701421,38343.95734597156
0,A13373302,202209.0,9072.748815165876,32443.88625592417
0,A13373302,202210.0,9085.402843601896,32519.52606635071
0,A13373302,202211.0,11314.24644549763,35051.07109004739
0,A13373302,202212.0,21089.151658767772,47818.63033175356
1,A13373301,202201.0,24798.388473852723,77197.65208110992
1,A13373301,202202.0,26581.824973319104,78651.69690501601
1,A13373301,202203.0,20423.95944503735,64150.35218783351
1,A13373301,202204.0,20947.758804695837,69781.43009605123
1,A13373301,202205.0,19744.71718249733,64246.68089647812
1,A13373301,202206.0,23009.67982924226,70089.98932764141
1,A13373301,202207.0,25376.937033084312,102439.51974386339
1,A13373301,202208.0,25455.506937033086,122696.48879402348
1,A13373301,202209.0,25237.79082177161,95161.28068303096
1,A13373301,202210.0,24436.680896478123,77420.99252934898
1,A13373301,202211.0,24657.491995731056,75211.67556029883
1,A13373301,202212.0,24144.685165421557,75569.13553895411
2,A13302203,202201.0,17571.497584541063,66166.06280193236
2,A13302203,202202.0,14469.154589371981,54386.47342995169
2,A13302203,202203.0,11813.067632850241,55854.371980676326
2,A13302203,202204.0,11075.386473429951,49200.6038647343
2,A13302203,202205.0,11349.251207729469,51595.628019323674
2,A13302203,202206.0,14605.338164251209,68755.02415458937
2,A13302203,202207.0,15097.512077294687,82995.91787439614
2,A13302203,202208.0,11908.550724637682,67949.8309178744
2,A13302203,202209.0,10989.710144927536,54410.41062801932
2,A13302203,202210.0,12598.526570048309,58339.00966183575
2,A13302203,202211.0,16745.48309178744,62461.811594202896
2,A13302203,202212.0,21918.74396135266,74562.72946859903
3,A13302204,202201.0,49997.64192139738,49997.64192139738
3,A13302204,202202.0,3217.685589519651,50805.305676855896
3,A13302204,202203.0,2414.0174672489084,42240.56768558952
3,A13302204,202204.0,1228.6899563318777,43793.68995633188
3,A13302204,202205.0,1615.2620087336245,39531.7248908297
3,A13302204,202206.0,1111.7685589519651,39836.113537117904
3,A13302204,202207.0,1325.524017467249,48631.85589519651
3,A13302204,202208.0,1253.6244541484716,57950.32751091703
3,A13302204,202209.0,786.5720524017468,47506.37554585153
3,A13302204,202210.0,928.9737991266376,43088.66812227074
3,A13302204,202211.0,1159.9563318777293,47420.698689956334
3,A13302204,202212.0,1416.9868995633187,49138.73362445415
4,A13385705,202201.0,9901.25,46109.458333333336
4,A13385705,202202.0,10199.895833333334,45359.958333333336
4,A13385705,202203.0,7974.627083333334,35934.75208333333
4,A13385705,202204.0,5578.160416666667,36805.347916666666
4,A13385705,202205.0,7175.90625,33900.65625
4,A13385705,202206.0,7523.677083333333,36993.177083333336
4,A13385705,202207.0,4266.122916666666,49136.66458333333
4,A13385705,202208.0,2045.7770833333334,52752.964583333334
4,A13385705,202209.0,3564.0041666666666,35461.79583333333
4,A13385705,202210.0,6501.114583333333,37475.760416666664
4,A13385705,202211.0,5469.654166666666,39896.19583333333
4,A13385705,202212.0,47233.316666666666,47233.316666666666
5,A13302001,202201.0,8064.026763990268,51577.57907542579
5,A13302001,202202.0,8059.099756690997,51503.2603406326
5,A13302001,202203.0,6866.143552311435,42132.88321167883
5,A13302001,202204.0,5982.396593673966,45004.063260340634
5,A13302001,202205.0,5415.43795620438,40211.04622871046
5,A13302001,202206.0,5168.783454987834,40894.96350364963
5,A13302001,202207.0,4597.761557177616,54757.04379562044
5,A13302001,202208.0,7694.184914841849,70249.92700729927
5,A13302001,202209.0,2885.036496350365,49009.41605839416
5,A13302001,202210.0,5304.586374695864,44120.255474452555
5,A13302001,202211.0,5449.708029197081,46156.99513381995
5,A13302001,202212.0,2273.1386861313867,44417.54257907542
6,A13377302,202201.0,4073.7591240875913,22669.19708029197
6,A13377302,202202.0,4972.043795620438,20334.525547445257
6,A13377302,202203.0,4644.41605839416,21075.87591240876
6,A13377302,202204.0,2546.4598540145985,17686.350364963502
6,A13377302,202205.0,3228.868613138686,18089.014598540147
6,A13377302,202206.0,2912.8394160583944,20910.832116788322
6,A13377302,202207.0,1901.7883211678832,22306.131386861314
6,A13377302,202208.0,2623.978102189781,20509.890510948906
6,A13377302,202209.0,3138.5036496350367,19214.233576642335
6,A13377302,202210.0,3184.6350364963505,20453.795620437955
6,A13377302,202211.0,3569.4525547445255,21519.781021897812
6,A13377302,202212.0,4235.07299270073,24839.70802919708
7,A13385802,202201.0,7213.754512635379,48005.559566787
7,A13385802,202202.0,7167.581227436823,47901.624548736465
7,A13385802,202203.0,5986.389891696751,39440.07220216606
7,A13385802,202204.0,6122.851985559567,42114.18772563177
7,A13385802,202205.0,5376.281588447653,37517.43682310469
7,A13385802,202206.0,5234.007220216607,38517.833935018054
7,A13385802,202207.0,3342.3104693140795,52339.56678700361
7,A13385802,202208.0,7709.27797833935,65944.40433212997
7,A13385802,202209.0,3676.4981949458484,44888.6642599278
7,A13385802,202210.0,5195.595667870036,41337.0036101083
7,A13385802,202211.0,5473.754512635379,44712.129963898915
7,A13385802,202212.0,7525.198555956678,48029.53068592058
8,A13377301,202201.0,9359.319371727748,26385.130890052355
8,A13377301,202202.0,6706.806282722513,20183.24607329843
8,A13377301,202203.0,7675.9162303664925,21587.748691099478
8,A13377301,202204.0,2239.895287958115,15475.65445026178
8,A13377301,202205.0,2353.246073298429,16055.445026178011
8,A13377301,202206.0,0.0,17039.476439790575
8,A13377301,202207.0,2636.717277486911,22357.34554973822
8,A13377301,202208.0,0.0,17226.33507853403
8,A13377301,202209.0,0.0,14544.397905759162
