,kaptCode,Elec_Con
0,A13822002,0.0
1,A13822004,1.0
2,A13886701,0.0
3,A13879102,1.0
4,A13822902,1.0
5,A13822702,0.0
6,A13822003,1.0
7,A13822701,1.0
8,A13822001,1.0
10,A13824005,0.0
11,A13824006,1.0
12,A13824003,0.0
13,A13872504,1.0
14,A13804206,0.0
15,A13887302,0.0
16,A13887301,0.0
17,A13887405,0.0
18,A13804002,0.0
19,A13804003,0.0
20,A13887702,0.0
21,A13887403,0.0
22,A13804001,0.0
23,A13804004,0.0
24,A13887901,1.0
27,A10025185,1.0
28,A13885306,0.0
29,A13817001,1.0
30,A13877501,1.0
31,A13885304,0.0
32,A13885301,0.0
33,A13885102,0.0
34,A13885303,1.0
35,A13817101,0.0
38,A13819001,0.0
39,A13880806,0.0
40,A13880407,0.0
41,A13881103,0.0
42,A13880701,0.0
43,A13816101,0.0
44,A13816202,0.0
46,A13880406,0.0
47,A13881005,0.0
48,A13881204,0.0
49,A13816002,0.0
50,A13880603,1.0
51,A13880602,0.0
52,A13880105,0.0
53,A13880204,1.0
54,A13895502,0.0
55,A13880201,0.0
56,A10025850,1.0
57,A13820006,0.0
58,A13820001,0.0
59,A13820002,0.0
60,A13820004,0.0
61,A13820201,0.0
62,A13820007,0.0
63,A13882402,1.0
64,A13882401,0.0
65,A13820005,0.0
66,A10027346,1.0
67,A13821001,1.0
68,A13821004,0.0
69,A13821002,0.0
70,A13876112,0.0
71,A13876110,0.0
72,A13821007,0.0
73,A13876113,0.0
74,A13876109,0.0
75,A13821003,0.0
76,A13876111,0.0
77,A13876114,0.0
78,A13876108,0.0
79,A13821006,0.0
80,A13821005,0.0
81,A10028086,1.0
82,A10026682,1.0
83,A10027632,0.0
84,A10027553,0.0
85,A10027461,0.0
86,A10023897,1.0
87,A13805001,0.0
88,A13883601,1.0
89,A13805002,0.0
90,A13883602,0.0
93,A13813008,0.0
94,A13813003,0.0
95,A13813002,0.0
96,A13813010,0.0
97,A13813005,0.0
98,A13813006,0.0
99,A13886009,0.0
100,A13813004,0.0
101,A13873701,0.0
102,A10026734,0.0
103,A10025657,0.0
104,A10026249,0.0
105,A10026362,1.0
107,A13881401,1.0
108,A13811203,0.0
109,A13881601,0.0
110,A13811205,0.0
111,A13881302,1.0
112,A13811204,1.0
113,A13811202,0.0
114,A13811206,0.0
115,A13811001,0.0
116,A13881603,1.0
118,A10023887,1.0
119,A10024085,1.0
121,A10024492,1.0
122,A10023922,1.0
123,A10023927,1.0
124,A10024152,1.0
125,A10024787,1.0
126,A10024197,0.0
127,A10024577,1.0
128,A13812004,0.0
129,A13881701,0.0
130,A13812003,1.0
131,A13812001,0.0
132,A13812002,1.0
133,A13812005,0.0
