,kaptCode,Date,electC,electComb
0,A13822002,202201.0,27508.241883116883,72200.62554112554
0,A13822002,202202.0,27027.195616883117,70408.88392857143
0,A13822002,202203.0,14988.587391774892,51580.55708874459
0,A13822002,202204.0,15465.288961038961,56233.018939393936
0,A13822002,202205.0,14764.56195887446,52739.90827922078
0,A13822002,202206.0,13670.505952380952,56568.492965367965
0,A13822002,202207.0,21518.008387445887,88603.53327922078
0,A13822002,202208.0,22693.777597402597,100967.83333333333
0,A13822002,202209.0,17760.907196969696,66494.08901515152
0,A13822002,202210.0,15339.58225108225,57057.728896103894
0,A13822002,202211.0,17439.00108225108,62189.433982683986
0,A13822002,202212.0,26834.59604978355,72780.25351731601
1,A13822004,202201.0,25793.911060232476,70193.73494188095
1,A13822004,202202.0,18654.420218386756,56649.39908418457
1,A13822004,202203.0,24387.36121873899,66923.76135963367
1,A13822004,202204.0,14975.853293413174,54022.19883761888
1,A13822004,202205.0,14538.257837266643,53919.77245508982
1,A13822004,202206.0,18494.8448397323,68766.96530468475
1,A13822004,202207.0,20175.036280380416,94112.37337090525
1,A13822004,202208.0,19312.098626276857,82485.62803804157
1,A13822004,202209.0,12990.627157449806,57083.286544557945
1,A13822004,202210.0,17956.581190560057,61432.54103557591
1,A13822004,202211.0,17698.977809087708,61290.11025008806
1,A13822004,202212.0,29128.12222613596,78712.36315604085
2,A13886701,202201.0,9806.607142857143,47491.10119047619
2,A13886701,202202.0,9744.19642857143,47281.517857142855
2,A13886701,202203.0,8655.029761904761,39799.76190476191
2,A13886701,202204.0,9419.642857142857,44090.505952380954
2,A13886701,202205.0,39577.291666666664,39577.291666666664
2,A13886701,202206.0,2173.839285714286,42144.70238095238
2,A13886701,202207.0,8276.547619047618,57441.875
2,A13886701,202208.0,10053.511904761905,71098.83928571429
2,A13886701,202209.0,5315.089285714285,43363.80952380953
2,A13886701,202210.0,9460.505952380952,44982.82738095238
2,A13886701,202211.0,9583.57142857143,49308.36309523809
2,A13886701,202212.0,12774.82142857143,51647.11309523809
3,A13879102,202201.0,10245.831297709923,64790.429262086516
3,A13879102,202202.0,9207.876081424936,62609.018575063616
3,A13879102,202203.0,5810.451399491094,45999.36743002544
3,A13879102,202204.0,50242.38676844784,50242.38676844784
3,A13879102,202205.0,5485.719083969466,41713.375572519086
3,A13879102,202206.0,9013.212468193384,43664.148091603056
3,A13879102,202207.0,9702.36106870229,63390.462086513995
3,A13879102,202208.0,8723.984223918575,76082.81297709924
3,A13879102,202209.0,6642.981679389313,46886.414249363865
3,A13879102,202210.0,6585.382697201017,45005.89847328244
3,A13879102,202211.0,8678.126463104325,51689.98880407125
3,A13879102,202212.0,10811.438167938932,62701.98880407125
4,A13822902,202201.0,62718.0,62718.0
4,A13822902,202202.0,58305.63963963964,58305.63963963964
4,A13822902,202203.0,41826.05405405405,41826.05405405405
4,A13822902,202204.0,44363.0990990991,44363.0990990991
4,A13822902,202205.0,37934.37837837838,37934.37837837838
4,A13822902,202206.0,41717.71171171171,41717.71171171171
4,A13822902,202207.0,55594.0,55594.0
4,A13822902,202208.0,69925.51351351352,69925.51351351352
4,A13822902,202209.0,44188.37837837838,44188.37837837838
4,A13822902,202210.0,43868.84684684685,43868.84684684685
