,kaptCode,Elec_Con
0,A15807316,0.0
1,A15807004,0.0
2,A15807003,1.0
3,A15807704,0.0
4,A15886504,1.0
5,A15807101,0.0
6,A15885306,1.0
7,A15807001,0.0
8,A15807205,1.0
9,A15807604,0.0
10,A15885307,1.0
11,A15807311,0.0
12,A15807706,0.0
13,A15807703,1.0
14,A15876401,0.0
15,A15886402,0.0
16,A15807002,0.0
17,A15886512,0.0
18,A15886507,0.0
19,A15886505,0.0
20,A15807210,0.0
21,A15807605,0.0
22,A15870701,1.0
23,A15886508,0.0
24,A15807707,0.0
25,A15807211,0.0
26,A15807315,0.0
27,A15886510,0.0
28,A15885514,0.0
29,A15879502,0.0
30,A15807313,0.0
31,A15807702,0.0
32,A15879501,0.0
33,A15807705,0.0
34,A15807208,1.0
35,A15807606,0.0
36,A15873701,0.0
37,A15886501,0.0
38,A15807204,1.0
39,A15807701,1.0
40,A15876402,0.0
41,A15885303,1.0
42,A15884901,1.0
43,A15807202,0.0
44,A15873902,1.0
45,A15809002,1.0
46,A15807306,0.0
47,A10027375,1.0
48,A10027396,0.0
49,A10025649,0.0
50,A10025729,1.0
51,A10023593,1.0
53,A10024398,0.0
54,A15805504,0.0
55,A15805404,0.0
56,A15875102,0.0
57,A15805102,0.0
58,A15805003,0.0
59,A15880204,0.0
60,A15805203,0.0
61,A15875101,0.0
62,A15805202,1.0
63,A15805115,0.0
64,A15882107,0.0
65,A15882103,0.0
66,A15805111,1.0
67,A15805403,0.0
68,A15805101,1.0
69,A15882008,1.0
70,A15805503,0.0
71,A15881702,1.0
72,A15805303,0.0
73,A15805302,0.0
74,A15881701,0.0
75,A15870102,0.0
77,A15881601,0.0
78,A15805109,0.0
79,A15882104,1.0
80,A15882006,1.0
81,A15805105,0.0
82,A15805002,0.0
84,A15880905,0.0
88,A10026023,1.0
92,A15884703,0.0
93,A15883803,0.0
94,A15883401,0.0
95,A15883201,1.0
96,A15809601,0.0
97,A15883702,0.0
98,A15809702,0.0
99,A15809502,1.0
100,A15809402,1.0
101,A15809401,1.0
102,A15883202,1.0
103,A15809403,0.0
104,A15882201,0.0
105,A15809201,0.0
106,A15809001,0.0
107,A15884202,0.0
108,A15883402,0.0
109,A15883101,0.0
110,A15809603,0.0
113,A10025157,0.0
117,A10024872,1.0
118,A15878601,0.0
