,kaptCode,Date,electC,electComb
0,A15807316,202201.0,7335.673372781065,30708.016568047336
0,A15807316,202202.0,6220.362130177515,25889.78224852071
0,A15807316,202203.0,6057.372781065089,28663.100591715975
0,A15807316,202204.0,5609.575147928994,26767.8
0,A15807316,202205.0,5387.460355029586,27148.939644970415
0,A15807316,202206.0,6463.552662721893,32650.026035502957
0,A15807316,202207.0,3848.375147928994,40404.339644970416
0,A15807316,202208.0,2096.18224852071,36131.27100591716
0,A15807316,202209.0,6151.236686390533,31879.331360946744
0,A15807316,202210.0,6458.175147928994,31676.96804733728
0,A15807316,202211.0,7232.569230769231,31838.072189349114
0,A15807316,202212.0,7428.78224852071,35034.11952662722
1,A15807004,202201.0,28100.897435897437,65339.432234432235
1,A15807004,202202.0,15581.10989010989,47024.406593406595
1,A15807004,202203.0,12340.507326007326,47457.88827838828
1,A15807004,202204.0,5700.708791208791,44594.11538461538
1,A15807004,202205.0,45172.58424908425,45172.58424908425
1,A15807004,202206.0,49485.55860805861,49485.55860805861
1,A15807004,202207.0,76325.64102564103,76325.64102564103
1,A15807004,202208.0,5884.970695970696,65644.65934065935
1,A15807004,202209.0,6394.57326007326,47476.99084249084
1,A15807004,202210.0,7183.81684981685,51494.1282051282
1,A15807004,202211.0,7970.793040293041,51165.8663003663
1,A15807004,202212.0,22936.309523809523,74728.45238095238
2,A15807003,202201.0,6602.605042016807,47205.71428571428
2,A15807003,202202.0,2083.8655462184875,36368.27731092437
2,A15807003,202203.0,907.9411764705883,39649.91596638656
2,A15807003,202204.0,-4064.915966386555,32125.882352941175
2,A15807003,202205.0,-235.0,28868.193277310926
2,A15807003,202206.0,-1570.390756302521,43083.86554621849
2,A15807003,202207.0,-3690.1134453781515,57303.23529411765
2,A15807003,202208.0,-2817.8991596638657,55274.91596638656
2,A15807003,202209.0,-1444.1596638655462,38582.815126050424
2,A15807003,202210.0,845.9243697478992,41855.58823529412
2,A15807003,202211.0,3865.378151260504,45420.84033613445
2,A15807003,202212.0,11072.226890756303,55540.63025210084
3,A15807704,202201.0,503.35087719298247,14426.728070175439
3,A15807704,202202.0,-2322.6666666666665,11872.315789473685
3,A15807704,202203.0,1222.8245614035088,13106.833333333334
3,A15807704,202204.0,-371.17543859649123,12744.587719298246
3,A15807704,202205.0,404.05263157894734,13216.921052631578
3,A15807704,202206.0,1654.3947368421052,14723.157894736842
3,A15807704,202207.0,3549.5175438596493,18039.140350877195
3,A15807704,202208.0,1072.3333333333333,18458.526315789473
3,A15807704,202209.0,-4110.701754385965,14151.605263157895
3,A15807704,202210.0,1432.157894736842,15647.394736842105
3,A15807704,202211.0,-1317.780701754386,14505.587719298246
3,A15807704,202212.0,5953.350877192983,20213.298245614034
4,A15886504,202201.0,25505.373961218836,67738.58725761774
4,A15886504,202202.0,16487.839335180055,51257.53462603878
4,A15886504,202203.0,23844.87534626039,62422.797783933514
4,A15886504,202204.0,18256.537396121883,51869.05817174515
4,A15886504,202205.0,13811.689750692522,50851.13573407202
4,A15886504,202206.0,17786.28808864266,56753.43490304709
4,A15886504,202207.0,21085.56786703601,91874.45983379502
4,A15886504,202208.0,20744.90304709141,77995.81717451524
4,A15886504,202209.0,13178.781163434904,53421.16343490305
4,A15886504,202210.0,20816.56509695291,59720.6648199446
4,A15886504,202211.0,20304.21052631579,60305.87257617729
4,A15886504,202212.0,30998.698060941828,79538.19944598338
5,A15807101,202201.0,12557.700985221674,53087.868472906404
5,A15807101,202202.0,12393.696059113301,51533.15418719212
5,A15807101,202203.0,10560.437438423645,43063.03842364532
5,A15807101,202204.0,12342.6,47756.48177339901
5,A15807101,202205.0,8992.866995073891,41776.6157635468
5,A15807101,202206.0,8895.534482758621,45556.229064039406
5,A15807101,202207.0,4986.907389162561,60777.58226600985
5,A15807101,202208.0,8272.88078817734,75544.93990147783
5,A15807101,202209.0,7482.459113300492,48743.95172413793
5,A15807101,202210.0,8779.64039408867,48275.71921182266
5,A15807101,202211.0,12640.803940886699,52760.90738916256
5,A15807101,202212.0,13646.75763546798,55355.215763546796
6,A15885306,202201.0,14148.296296296296,63682.2962962963
6,A15885306,202202.0,16990.444444444445,52840.88888888889
6,A15885306,202203.0,11474.444444444445,54659.0
6,A15885306,202204.0,10875.296296296296,49052.18518518518
6,A15885306,202205.0,8928.074074074075,47840.96296296296
6,A15885306,202206.0,11835.888888888889,55548.96296296296
