,kaptCode,Elec_Con
0,A15003001,0.0
1,A15003002,0.0
3,A15003701,0.0
4,A10026816,0.0
6,A15003801,0.0
7,A15003802,0.0
8,A15089513,0.0
9,A15076302,1.0
10,A15089421,1.0
11,A15001020,0.0
12,A15088717,1.0
13,A15001004,1.0
14,A15001016,0.0
15,A15001009,0.0
16,A15089510,1.0
17,A15089411,1.0
18,A15001003,1.0
19,A15088208,0.0
20,A15088918,1.0
21,A15001012,1.0
22,A15001019,0.0
23,A15001001,1.0
24,A15088802,1.0
25,A15080002,0.0
26,A15004101,1.0
27,A15004201,0.0
28,A15004202,0.0
30,A15080402,0.0
31,A15072001,0.0
32,A15080204,0.0
33,A15080205,0.0
34,A15072002,0.0
36,A15004406,0.0
37,A15080507,1.0
38,A15004403,0.0
39,A15004405,0.0
40,A15080501,0.0
41,A15072201,1.0
42,A10027684,1.0
43,A10026797,1.0
44,A15004507,0.0
45,A15004503,0.0
46,A15004506,0.0
47,A15004505,0.0
48,A15004501,0.0
49,A10024789,1.0
50,A15081001,1.0
51,A15081002,0.0
52,A15083202,0.0
53,A15083201,0.0
54,A15076702,1.0
56,A15009201,0.0
57,A15083602,0.0
58,A15083404,0.0
59,A15083603,1.0
62,A15083601,0.0
64,A15009402,0.0
65,A15009401,0.0
66,A15009505,0.0
67,A15009503,1.0
68,A15009501,0.0
69,A15009504,0.0
70,A15009502,0.0
71,A10026197,0.0
72,A15009607,1.0
73,A15009606,0.0
74,A15009602,0.0
75,A15009605,0.0
76,A15009604,0.0
77,A15009603,0.0
78,A15009601,0.0
80,A10024925,1.0
81,A10024495,1.0
82,A15086202,1.0
83,A15086201,0.0
84,A10024316,1.0
85,A15010203,0.0
86,A15010202,0.0
87,A15010201,0.0
89,A15010303,0.0
90,A15010305,0.0
91,A15010302,0.0
92,A15010307,0.0
93,A15010304,0.0
94,A15010306,0.0
95,A15010301,0.0
97,A15086601,1.0
98,A15086702,0.0
99,A15086603,0.0
100,A15010501,0.0
101,A15010502,0.0
102,A15010602,0.0
103,A15010601,0.0
104,A15005401,0.0
105,A15005301,0.0
106,A15005402,0.0
107,A15005001,0.0
108,A15085404,0.0
109,A15086007,1.0
110,A15005102,0.0
111,A15083703,0.0
112,A15005302,1.0
113,A15086001,0.0
114,A15096001,0.0
115,A15085805,0.0
116,A15005705,1.0
117,A15083701,1.0
118,A15005602,0.0
119,A15005501,1.0
120,A15005303,0.0
121,A15086006,0.0
122,A15005603,0.0
123,A15086004,1.0
124,A10027755,0.0
125,A10027073,0.0
127,A10025024,1.0
128,A10025562,0.0
129,A10025070,1.0
130,A10024470,1.0
131,A10024615,0.0
133,A15081503,0.0
134,A15081107,0.0
135,A15081201,0.0
136,A15007002,0.0
137,A15081802,1.0
138,A15081602,0.0
139,A15007101,0.0
140,A15081604,0.0
141,A15081105,0.0
142,A15095002,0.0
143,A15081606,0.0
144,A15095001,0.0
145,A10027381,1.0
146,A10026761,1.0
147,A10024725,1.0
