,kaptCode,Date,electC,electComb
0,A15003001,202201.0,1930.7453874538746,47880.0073800738
0,A15003001,202202.0,2040.8634686346863,47318.61254612546
0,A15003001,202203.0,3277.2619926199263,40145.675276752765
0,A15003001,202204.0,3438.210332103321,43010.276752767524
0,A15003001,202205.0,3133.391143911439,38781.324723247235
0,A15003001,202206.0,2603.929889298893,40045.62730627306
0,A15003001,202207.0,-4149.616236162362,53500.67896678967
0,A15003001,202208.0,-1271.9557195571956,67906.45756457564
0,A15003001,202209.0,-504.619926199262,46346.41328413284
0,A15003001,202210.0,2234.7011070110702,42805.47601476015
0,A15003001,202211.0,3372.656826568266,45658.08118081181
0,A15003001,202212.0,2918.542435424354,47343.52398523985
1,A15003002,202201.0,8045.389520714866,46260.194557270515
1,A15003002,202202.0,7589.270511779041,45812.77173030057
1,A15003002,202203.0,6795.2359870024375,38346.92567018684
1,A15003002,202204.0,6961.9244516653125,40987.90739236393
1,A15003002,202205.0,6836.205523964257,36707.46872461413
1,A15003002,202206.0,7155.482940698619,38192.660032493906
1,A15003002,202207.0,7033.634443541836,52136.33549959383
1,A15003002,202208.0,7925.843623070674,62093.11819658814
1,A15003002,202209.0,4181.04549147035,44625.56620633631
1,A15003002,202210.0,7397.000406173843,41501.582047116164
1,A15003002,202211.0,8894.179935012186,44689.30584890333
1,A15003002,202212.0,10531.215678310316,47650.902924451664
3,A15003701,202201.0,47612.95,47612.95
3,A15003701,202202.0,39692.28333333333,39692.28333333333
3,A15003701,202203.0,40984.4,40984.4
3,A15003701,202204.0,36891.5,36891.5
3,A15003701,202205.0,36360.3,36360.3
3,A15003701,202206.0,40131.61666666667,88959.73333333334
3,A15003701,202207.0,56312.416666666664,56312.416666666664
3,A15003701,202208.0,52142.15,52142.15
3,A15003701,202209.0,9017.716666666667,41398.96666666667
3,A15003701,202210.0,9881.6,42954.61666666667
3,A15003701,202211.0,10450.2,44069.166666666664
3,A15003701,202212.0,14733.566666666668,54422.13333333333
4,A10026816,202201.0,67189.15642915643,67189.15642915643
4,A10026816,202202.0,56857.56674856675,56857.56674856675
4,A10026816,202203.0,60460.75593775594,60460.75593775594
4,A10026816,202204.0,47875.30466830467,47875.30466830467
4,A10026816,202205.0,49311.80999180999,49311.80999180999
4,A10026816,202206.0,65120.28255528255,65120.28255528255
4,A10026816,202207.0,101479.9312039312,101479.9312039312
4,A10026816,202208.0,96206.97952497953,96206.97952497953
