,kaptCode,Elec_Con
0,A14019001,0.0
1,A14070302,0.0
3,A14006001,0.0
4,A14004001,0.0
5,A14004002,0.0
6,A14076401,0.0
7,A14005001,1.0
9,A14085002,0.0
10,A14085101,0.0
11,A14074101,0.0
12,A10025533,0.0
14,A10025898,0.0
15,A14007002,0.0
16,A14007001,0.0
17,A14083101,1.0
18,A14009001,0.0
19,A10024333,1.0
22,A10024691,1.0
23,A14072701,0.0
24,A14003002,0.0
25,A14003003,0.0
27,A14003104,0.0
28,A14003006,1.0
29,A14003008,1.0
30,A14003004,1.0
31,A14085501,0.0
32,A14090902,0.0
33,A14003007,1.0
34,A14003101,1.0
35,A14003001,1.0
36,A14003105,0.0
37,A14003106,0.0
38,A14072901,1.0
40,A10027908,1.0
41,A14072702,0.0
43,A14086001,0.0
44,A14086101,1.0
46,A14077902,1.0
47,A14077901,0.0
48,A10027071,1.0
50,A10025192,1.0
53,A14024001,0.0
54,A14024002,0.0
55,A14082601,0.0
56,A14082302,0.0
