,kaptCode,Date,electC,electComb
0,A14019001,202201.0,3385.575221238938,27233.141592920354
0,A14019001,202202.0,3163.451327433628,25310.088495575223
0,A14019001,202203.0,591.4159292035398,18390.442477876106
0,A14019001,202204.0,865.5309734513274,20751.681415929204
0,A14019001,202205.0,694.5132743362832,18559.911504424777
0,A14019001,202206.0,585.2212389380531,19449.734513274336
0,A14019001,202207.0,419.7345132743363,30009.33628318584
0,A14019001,202208.0,847.8761061946902,33298.58407079646
0,A14019001,202209.0,1753.716814159292,26125.66371681416
0,A14019001,202210.0,763.6725663716815,21622.433628318584
0,A14019001,202211.0,1051.1061946902655,23724.203539823007
0,A14019001,202212.0,3094.026548672566,27357.34513274336
1,A14070302,202201.0,46042.5939177102,112294.59749552773
1,A14070302,202202.0,45947.441860465115,112221.16279069768
1,A14070302,202203.0,36755.38461538462,92759.28443649373
1,A14070302,202204.0,36627.71019677996,97791.27012522361
1,A14070302,202205.0,34402.772808586764,91813.1663685152
1,A14070302,202206.0,38334.060822898035,107480.26833631485
1,A14070302,202207.0,37168.604651162794,176718.13953488372
1,A14070302,202208.0,17608.08586762075,223229.8747763864
1,A14070302,202209.0,35879.62432915921,144649.19499105547
1,A14070302,202210.0,35457.99642218247,107288.46153846153
1,A14070302,202211.0,34614.59749552773,98623.8282647585
1,A14070302,202212.0,38053.810375670844,102875.24150268336
3,A14006001,202201.0,10387.210227272728,59781.52840909091
3,A14006001,202202.0,13111.53409090909,57271.306818181816
3,A14006001,202203.0,4745.681818181818,55423.295454545456
3,A14006001,202204.0,4864.363636363636,52656.75
3,A14006001,202205.0,8297.068181818182,48507.693181818184
3,A14006001,202206.0,4037.556818181818,48397.84090909091
3,A14006001,202207.0,6838.676136363636,54959.8125
3,A14006001,202208.0,12970.823863636364,81194.23295454546
3,A14006001,202209.0,3447.9602272727275,82409.32386363637
3,A14006001,202210.0,3322.9602272727275,53013.30113636364
3,A14006001,202211.0,8489.52840909091,55531.857954545456
3,A14006001,202212.0,9259.238636363636,55347.47727272727
4,A14004001,202201.0,4395.778546712802,37252.560553633215
4,A14004001,202202.0,3348.0207612456747,36795.21799307958
4,A14004001,202203.0,2900.9480968858134,29758.352941176472
4,A14004001,202204.0,3796.6470588235293,33016.82006920415
4,A14004001,202205.0,3421.280276816609,30287.370242214532
4,A14004001,202206.0,3627.81660899654,34266.01730103806
4,A14004001,202207.0,-268.0311418685121,44509.99653979239
4,A14004001,202208.0,-1477.107266435986,48946.28373702422
4,A14004001,202209.0,2908.989619377163,36965.044982698964
4,A14004001,202210.0,4132.595155709342,34552.31833910035
4,A14004001,202211.0,4334.36678200692,36926.99653979239
4,A14004001,202212.0,5032.557093425606,40770.41176470588
5,A14004002,202201.0,10589.952813067152,49896.18693284936
5,A14004002,202202.0,10507.315789473685,48823.30490018149
5,A14004002,202203.0,8599.055353901997,39886.96823956443
5,A14004002,202204.0,9163.735934664246,43653.00998185118
5,A14004002,202205.0,8480.275862068966,39418.3611615245
5,A14004002,202206.0,8752.509074410164,43676.556261343016
5,A14004002,202207.0,8327.298548094373,59880.82849364791
5,A14004002,202208.0,12970.766787658802,73197.40925589837
5,A14004002,202209.0,8372.790381125227,46239.8502722323
